interpret_hlavni,id,stazeno,nazev_wiki,popis_en,popis_cs,velikost,zanry,datum_narozeni,datum_umrti,zacatek_pusobeni,konec_pusobeni,zalozeni,zanik,gender,misto_puvodu,zeme_puvodu,obcanstvi,etnicita,hlas,nastroje,oceneni,nabozenstvi,orientace,spotify_id,spotify_odberatele
Alex Da Kid,Q553508,True,Alex da Kid,British record producer and songwriter,,člověk,['hip hop'],1983,,2008,,,,muž,Londýn,Spojené království,['Spojené království'],,,,,,,0vjlH9sbJOZyhDjhvajQpY,
Alex Gaudino,Q428406,True,Alex Gaudino,Italian DJ and record producer,,člověk,"['house music', 'elektronická taneční hudba']",1970,,1993,,,,muž,Salerno,Itálie,['Itálie'],,,,,,,7L574Qy0GMHlDLqxRuU6zz,
Alex Hepburn,Q10366783,True,Alex Hepburn,English singer and songwriter,,člověk,"['soul', 'blues', 'pop music']",1986,,,,,,žena,Londýn,Spojené království,['Spojené království'],,,['hlas'],,,,,
Alexander Cardinale,Q16201874,True,Alexander Cardinale,American singer-songwriter,,člověk,,1984,,2010,,,,muž,Monterey,Spojené státy americké,['Spojené státy americké'],,,,,,,,
Alexandra Burke,Q234161,True,Alexandra Burke,British singer and songwriter,americká zpěvačka,člověk,['pop music'],1988,,2008,,,,žena,Velký Londýn,Spojené království,['Spojené království'],,,['hlas'],,,,6yZoNdsPrYLviaEOOzbZt8,
Alexandra Stan,Q1453,True,Alexandra Stan,Romanian singer,rumunská zpěvačka,člověk,['pop music'],1989,,2009,,,,žena,Constanța,Rumunsko,['Rumunsko'],,,['hlas'],['MTV Europe Music Award for Best Romanian Act'],,,0BmLNz4nSLfoWYW1cYsElL,
Aleš Brichta,Q1889853,True,Aleš Brichta,Czech musician,"český metalový zpěvák, textař a skladatel",člověk,"['rock', 'heavy metal']",1959,,1982,,,,muž,Praha,Česko,['Česko'],,,['hlas'],,,,,
Aleš Háma,Q10773819,True,Aleš Háma,"Czech actor, guitarist, presenter and singer","český herec, kytarista, moderátor a zpěvák",člověk,,1973,,,,,,muž,Karlovy Vary,Česko,['Česko'],,,,,,,,
Ali Gatie,Q65962050,True,Ali Gatie,Iraqi-born Canadian songwriter and rapper,,člověk,"['contemporary R&B', 'pop music']",1997,,2018,,,,muž,Aden,Jemen,"['Kanada', 'Irák']",,,,,,,4rTv3Ejc7hKMtmoBOK1B4T,
Alice Cooper,Q332032,True,Alice Cooper,American singer (born 1948),americký zpěvák a textař,člověk,"['rock', 'hard rock', 'heavy metal', 'shock rock', 'glam rock', 'klasický heavy metal', 'garage rock', 'glam metal']",1948,,1963,,,,muž,Detroit,Spojené státy americké,['Spojené státy americké'],,,"['harmonika', 'hlas']","['Rock and Roll Hall of Fame', 'čestný doktor', 'Heritage Award', 'Hvězda na Hollywoodském chodníku slávy']","['křesťanství', 'The Church of Jesus Christ (Bickertonite)']",,3EhbVgyfGd7HkpsagwL9GS,
Alice Merton,Q29016765,True,Alice Merton,German-Canadian singer-songwriter,německo-kanadsko-britská zpěvačka a skladatelka,člověk,"['indie pop', 'alternativní rock']",1993,,2016,,,,žena,Frankfurt nad Mohanem,Německo,['Německo'],,,"['vokalista', 'klavír', 'hlas']","['Cena za popovou kulturu', 'Echo Pop pro popovou umělkyni roku']",,,7f0OLhGgBMX9fUjm1dcPip,
Alice Springs,Q15220322,True,Alice Springs,Czech singer,česká zpěvačka,člověk,,1974,,,,,,žena,Praha,Česko,"['Československo', 'Česko']",,,['hlas'],,,,,
Alicia Keys,Q121507,True,Alicia Keys,American singer,americká zpěvačka,člověk,"['neo soul', 'contemporary R&B', 'pop music', 'soul', 'hip hop']",1981,,1996,,,,žena,Hell’s Kitchen,Spojené státy americké,['Spojené státy americké'],"['Afroameričané', 'multirasový Američan']",['mezzosoprán'],"['klavír', 'violoncello', 'basová kytara', 'kytara', 'klávesový nástroj', 'hlas']","['Cena Grammy pro nejlepšího nového umělce', 'Grammy Award for Best Rap/Sung Collaboration', 'BBC 100 Women', 'Ambassador of Conscience Award', 'Cena Grammy pro nejlepší R&B Album', 'Time 100', 'Audie Award for Narration by the Author', 'Cena Grammy za píseň roku']",,,3DiDSECUqqY1AuBP8qtaIa,
All American Rejects,Q214237,True,The All-American Rejects,American rock band,,hudební skupina,['punk rock'],,,1999,,1999,,,Stillwater,Spojené státy americké,,,,,,,,3vAaWhdBR38Q02ohXqaNHT,
All Saints,Q587,True,All Saints' Day,Christian feast day,křesťanský svátek,liturgická slavnost,,,,,,,,,,Česko,,,,,,,,,
All Time Low,Q909731,True,All Time Low,American rock band,americká pop-punková kapela,hudební skupina,"['pop punk', 'pop rock']",,,2003,,2003,,,Towson,Spojené státy americké,,,,,,,,46gyXjRIvN1NL1eCB8GBxo,
Alle Farben,Q15263356,True,Alle Farben,German DJ and producer,,člověk,"['tech house', 'deep house', 'future house']",1985,,2010,,,,muž,Berlín,Německo,['Německo'],,,,,,,61ipISvUVa5LkJlKZnm3Oo,
Ally Brooke,Q22965780,True,Ally Brooke,American singer,americká zpěvačka,člověk,['pop music'],1993,,2012,,,,žena,San Antonio,Spojené státy americké,['Spojené státy americké'],,['dramatický koloraturní soprán'],['hlas'],,,,6TXM1kV4L8DsDAkAfbOPYk,
Alma,Q656870,True,Alma,female given name,ženské křestní jméno,ženské rodné jméno,,,,,,,,,,Česko,,,,,,,,,
Aloe Blacc,Q49319,True,Aloe Blacc,American singer and rapper,americký zpěvák,člověk,"['soul', 'rhythm and blues', 'jazz']",1979,,1995,,,,muž,Newport Beach,Spojené státy americké,['Spojené státy americké'],,['baryton'],"['trubka', 'hlas', 'basová kytara', 'klávesový nástroj']",,,,0id62QV2SZZfvBn9xpmuCl,
Aloha From Hell,Q688203,True,Aloha from Hell,band,německá hudební skupina,hudební skupina,['pop punk'],,,2006,,2006,+2010-07-15T00:00:00Z,,,,,,,,,,,,
Alok,Q28007321,True,Alok,"Brazilian musician, DJ and record producer",,člověk,"['Brazilian bass', 'tech house']",1991,,2004,,,,muž,Goiânia,Brazílie,['Brazílie'],,,"['digital audio workstation', 'kytara']",,,,0NGAZxHanS9e0iNHpR8f2W,
Alt-J,Q47996,True,alt-J,English indie rock band,britská indie rocková hudební skupina,hudební skupina,"['art rock', 'indie rock', 'indie pop', 'folktronica']",,,2007,,2008,,,Leeds,Spojené království,,,,,"['Cena Jamese Joyce', 'Mercury Prize']",,,3XHO7cRUPCLOr6jwp8vsx5,
Alunageorge,Q10353,True,AlunaGeorge,British pop music duo,,hudební duo,"['UK Garage', 'synthpop', 'Trip hop', 'pop music', 'rhythm and blues', 'contemporary R&B', 'elektronická hudba']",,,2012,,2009,,,Londýn,Spojené království,,,,,,,,2VAnyOxzJuSAj7XIuEOT38,
Alvaro Soler,Q20203583,True,Álvaro Soler,Spanish-German singer,španělsko-německý zpěvák,člověk,"['latinskoamerická hudba', 'folk pop', 'Latin pop']",1991,,2015,,,,muž,Barcelona,Španělsko,"['Španělsko', 'Německo']",,,"['kytara', 'pianino', 'flétna', 'hlas', 'xylofon']",,,,2urF8dgLVfDjunO0pcHUEe,
Alžběta Kolečkářová,Q10787284,True,Alžběta Kolečkářová,Czech singer,česká zpěvačka,člověk,,1992,,,,,,žena,Zlín,Česko,,,,['hlas'],,,,,
Amaarae,Q72516952,True,Amaarae,Ghanaian-American singer-songwriter,,člověk,,1994,,2010,,,,žena,Bronx,Spojené státy americké,"['Spojené státy americké', 'Ghana']",,,,,,,,
Amber Van Day,Q62383653,True,Amber Van Day,British singer and songwriter,,člověk,,1996,,2018,,,,žena,Hove,Spojené království,,,,,,,,,
American Authors,Q15044381,True,American Authors,American rock band,american authors,hudební skupina,['alternativní rock'],,,2006,,2006,,,Boston,Spojené státy americké,,,,,,,,0MlOPi3zIDMVrfA9R04Fe3,
Americanos,Q4745598,True,Americanos,1989 single by Holly Johnson,,singl,['pop music'],,,,,,,,,Česko,,,,,,,,,
Amy Macdonald,Q15902,True,Amy Macdonald,Scottish singer-songwriter,,člověk,"['soft rock', 'indie pop', 'folk rock']",1987,,2007,,,,žena,Bishopbriggs,Spojené království,['Spojené království'],,['alt'],"['kytara', 'hlas']",['Silver Clef Award'],,,1hJuGCUpefX24GFmss9bjH,
Amy Winehouse,Q15897,True,Amy Winehouse,British singer and songwriter (1983–2011),britská zpěvačka,člověk,"['soul', 'rhythm and blues', 'jazz', 'blues', 'bílý soul', 'reggae', 'ska']",1983,2011,2000,2011,,,žena,Londýn,Spojené království,['Spojené království'],['Židé ve Spojeném království'],['alt'],"['kytara', 'bicí souprava', 'hlas']",['Cena Grammy pro nejlepšího nového umělce'],,['bisexualita'],6Q192DXotxtaysaqNPy5yR,
Anastacia,Q34584,True,Anastacia,American singer,americká zpěvačka-skladatelka,člověk,"['pop music', 'contemporary R&B', 'bílý soul', 'dance-pop', 'pop rock', 'rock']",1968,,1990,,,,žena,Chicago,Spojené státy americké,['Spojené státy americké'],,['mezzosoprán'],['hlas'],['Amadeus Austrian Music Awards'],,,2siHvYaxjaW5rKVRiIrMYH,
Andrea Bocelli,Q42402,True,Andrea Bocelli,Italian tenor and singer-songwriter (1958-),italský tenor,člověk,"['pop music', 'opera', 'operatic pop']",1958,,1992,,,,muž,Lajatico,Itálie,['Itálie'],,['tenor'],"['pozoun', 'trubka', 'saxofon', 'příčná flétna', 'kytara', 'klavír', 'hlas']","['Řád za zásluhy Duarta, Sáncheze a Melly', 'Billboard Latin Music Lifetime Achievement Award', 'čestný doktor Maceratské univerzity', 'velkodůstojník Řádu zásluh o Italskou republiku', 'Crystal Award', 'Hvězda na Hollywoodském chodníku slávy', 'Cena Echo Klassik za klasiku bez hranic', 'Cena Echo Pop za hit roku', 'Řád zásluh o Italskou republiku', 'Juan Pablo Duarte Order of Merit']",,,3EA9hVIzKfFiQI0Kikz2wo,
Andrea Kalousová,Q19902537,True,Andrea Kalousová,Czech model,česká modelka,člověk,,1996,,,,,,žena,Jaroměř,Česko,['Česko'],,,,,,,,
André Rieu,Q159832,True,André Rieu,Dutch violinist and conductor,"nizozemský houslista, skladatel, kapelník a hudební producent",člověk,['klasická hudba'],1949,,1978,,,,muž,Maastricht,Nizozemsko,['Nizozemské království'],,,['housle'],"['rytíř Řádu umění a literatury', 'Charlemagne Medal for European Media', 'čestná dekorace ve zlatě Čestného odznaku za zásluhy o Rakouskou republiku', 'Zlatá ladička', 'Zlatá ladička', 'Zlatá ladička', 'rytíř Řádu nizozemského lva']",,,3hJv5p2HwekJysNB2NDnEC,
Andy Grammer,Q4299814,True,Andy Grammer,American singer-songwriter,,člověk,['soul'],1983,,2010,,,,muž,Los Angeles,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,"[""Bahá'í""]",,2oX42qP5ineK3hrhBECLmj,
Andy Williams,Q214548,True,Andy Williams,American singer (1927–2012),americký zpěvák a herec,člověk,"['pop music', 'easy listening', 'jazz', 'country']",1927,2012,1938,,,,muž,Wall Lake,Spojené státy americké,['Spojené státy americké'],,['baryton'],['hlas'],"['Medaile cti Ellis Island', 'Hvězda na Hollywoodském chodníku slávy']",,,4sj6D0zlMOl25nprDJBiU9,
Aneta Langerová,Q455191,True,Aneta Langerová,Czech recording artist; singer,česká zpěvačka,člověk,['pop music'],1986,,2004,,,,žena,Benešov,Česko,['Česko'],,,['hlas'],"['Cena Anděl Sólová interpretka roku', 'Cena Anděl Sólová interpretka roku', 'Cena Anděl Sólová interpretka roku', 'Cena Anděl Sólová interpretka roku']",,,2kyu2lKKPgqLdf3TqAgYi9,
Angele,Q45192617,True,Angèle,Belgian singer and actress,,člověk,"['šanson', 'pop music']",1995,,2015,,,,žena,Uccle,Belgie,['Belgie'],,,"['klavír', 'hlas', 'klaviatura']",['Bronze Zinneke'],,['pansexualita'],3QVolfxko2UyCOtexhVTli,
Anita Kerr Singers,Q109226959,True,The Anita Kerr Singers,American vocal group,,hudební skupina,,,,,,,,,,Česko,,,,,,,,0vbEs3DgphJ2RGZqh4qFLT,
Anitta,Q13476301,True,Anitta,Brazilian artist and businesswoman (born 1993),"brazilská zpěvačka, skladatelka, herečka, tanečnice, podnikatelka a televizní moderátorka",člověk,"['pop music', 'funk carioca', 'reggaeton', 'Latin pop']",1993,,2010,,,,žena,Rio de Janeiro,Brazílie,['Brazílie'],,['soprán'],['hlas'],,['Kandomble'],['bisexualita'],7FNnA9vBm6EKceENgCGRMb,
Anna Jiřina,Q12025003,True,Jiřina Jandová,Czech female singer,česká zpěvačka,člověk,,1988,,,,,,žena,Praha,Česko,,,,['hlas'],,,,,
