interpret_hlavni,id,stazeno,nazev_wiki,popis_en,popis_cs,velikost,zanry,datum_narozeni,datum_umrti,zacatek_pusobeni,konec_pusobeni,zalozeni,zanik,gender,misto_puvodu,zeme_puvodu,obcanstvi,etnicita,hlas,nastroje,oceneni,nabozenstvi,orientace,spotify_id,spotify_odberatele
Kylie Minogue,Q11998,True,Kylie Minogue,Australian singer and actress (born 1968),australská zpěvačka,člověk,"['pop music', 'synthpop', 'dance-pop', 'nu-disco', 'elektropop', 'elektronická hudba', 'art pop', 'contemporary R&B', 'bubblegum pop']",+1968-05-28T00:00:00Z,,+1979-00-00T00:00:00Z,,,,žena,Melbourne,Austrálie,"['Austrálie', 'Spojené království']",,['soprán'],['hlas'],"['rytíř Řádu umění a literatury', 'důstojník Řádu britského impéria', 'Medaile ke sto letům federace', 'Gold Logie Award pro nejpopulárnější osobnost australské televize', 'Brit Award pro sólovou umělkyni', 'Brit Award pro sólovou umělkyni', 'Australian National Living Treasure', 'Amadeus Austrian Music Awards', 'důstojník Řádu Austrálie', 'Řád Austrálie', 'Řád britského impéria']",,,4RVnAU35WRWra6OZ3CbbMA,
Samey,Q110746787,True,Samey,Slovak rapper,,člověk,,,,,,,,muž,Košice,Slovensko,['Slovensko'],,,['hlas'],,,,0p0V7LW8i3S22J7xErqdmt,
Zedd,Q21088,True,Zedd,Russian-German DJ and music producer,,člověk,"['house music', 'electro house', 'progressive house', 'dubstep', 'elektronická taneční hudba', 'elektropop', 'future bass']",+1989-09-02T00:00:00Z,,+2002-00-00T00:00:00Z,,,,muž,Saratov,Rusko,"['Rusko', 'Německo']",,,['klávesy'],,,,2qxJFvFYMEDqd7ui6kSAcq,
Foster The People,Q61113,True,Foster the People,American rock band,,hudební skupina,"['alternativní rock', 'indie pop']",,,+2010-00-00T00:00:00Z,,+2009-00-00T00:00:00Z,,,Los Angeles,Spojené státy americké,,,,,,,,7gP3bB2nilZXLfPHJhMdvc,
5 Seconds Of Summer,Q4641147,True,5 Seconds of Summer,Australian pop rock band,,hudební skupina,"['pop rock', 'pop punk']",,,+2011-00-00T00:00:00Z,,+2011-00-00T00:00:00Z,,,Sydney,Austrálie,,,,,"['MTV Europe Music Award pro nejlepšího Push umělce', 'MTV Europe Music Award pro nejlepšího nováčka', 'MTV Europe Music Award for Best Australian Act', 'MTV Europe Music Award for Best Australian Act', 'MTV Europe Music Award za celosvětový počin', 'MTV Europe Music Award za nejlepší Rock', 'MTV Video Music Award for Song of Summer', 'American Music Award for New Artist of the Year', 'Billboard 21 Under 21']",,,5Rl15oVamLq7FbSb0NNBNy,
Shaun Baker,Q327220,True,Shaun Baker,"English musician, DJ and record producer",,člověk,['taneční hudba'],+2000-01-01T00:00:00Z,,+1997-00-00T00:00:00Z,,,,muž,Anglie,Spojené království,['Spojené království'],,,,,,,,
Inna,Q12349,True,Inna,Romanian singer,,člověk,['taneční hudba'],+1986-10-16T00:00:00Z,,+2008-00-00T00:00:00Z,,,,žena,Mangalia,Rumunsko,['Rumunsko'],,,['hlas'],"['MTV Europe Music Award for Best Romanian Act', 'MTV Europe Music Award for Best Romanian Act', 'MTV Europe Music Award for Best Romanian Act']",,,2w9zwq3AktTeYYMuhMjju8,
Mikolas Josef,Q43571872,True,Mikolas Josef,Czech singer-songwriter and former model,český zpěvák,člověk,"['pop music', 'house music', 'folk', 'hip hop', 'contemporary R&B']",+1995-10-04T00:00:00Z,,+2013-00-00T00:00:00Z,,,,muž,Praha,Česko,['Česko'],,['tenor'],"['kytara', 'hlas']",,,,,
Swedish House Mafia,Q20709,True,Swedish House Mafia,Swedish electronic music group,hudební uskupení švédských DJ,hudební skupina,"['house music', 'elektronická taneční hudba', 'electro', 'progressive house', 'electro house']",,,+2007-00-00T00:00:00Z,,+2007-00-00T00:00:00Z,,,Stockholm,Švédsko,,,,"['Logic Pro', 'Teenage Engineering OP-1']",,,,1h6Cn3P4NGzXbaXidqURXs,
Tata Bojs,Q2507263,True,Tata Bojs,Czech pop rock band,česká poproková hudební skupina,hudební skupina,['alternativní rock'],,,,,,,,Hanspaulka,Česko,,,,,"['Anděl', 'Anděl', 'Anděl', 'Anděl', 'Anděl', 'Cena Anděl Skupina roku', 'Cena Anděl Skupina roku']",,,03nooG8IpNXkgqpPVgWQQn,
Charli Xcx,Q5084390,True,Charli XCX,English singer-songwriter,anglická zpěvačka,člověk,"['synthpop', 'nová vlna', 'indie pop', 'elektropop', 'Avant-pop', 'pop punk', 'hyperpop']",+1992-08-02T00:00:00Z,,+2007-00-00T00:00:00Z,,,,žena,Cambridge,Spojené království,['Spojené království'],,['mezzosoprán'],['hlas'],,,,25uiPmTg16RbhZWAqwLBy5,
Nik Tendo,Q61666911,True,Nik Tendo,Czech rapper,český rapper,člověk,['trap'],+1993-08-19T00:00:00Z,,,,,,muž,Pardubice,Česko,['Česko'],,,['hlas'],,,,6gvVFtkTV4OCyQSCzGgU1h,
Nico Santos,Q23806108,True,Nico Santos,German singer-songwriter,,člověk,['pop music'],+1993-01-07T00:00:00Z,,,,,,muž,Brémy,Německo,['Německo'],,,,,,,3A9B6c1CrSPauiOblw7pWz,
Adam Ďurica,Q16515468,True,Adam Ďurica,Slovak musician,,člověk,,+1987-11-01T00:00:00Z,,+2002-00-00T00:00:00Z,,,,muž,Nitra,Slovensko,['Slovensko'],,,['hlas'],['Krištáľové krídlo'],,,,
Zara Larsson,Q4177928,True,Zara Larsson,Swedish singer (born 1997),švédská zpěvačka,člověk,['dance-pop'],+1997-12-16T00:00:00Z,,+2008-00-00T00:00:00Z,,,,žena,Solna,Švédsko,['Švédsko'],,['soprán'],"['klavír', 'hlas']","['MTV Europe Music Award pro nejlepšího nováčka', 'MTV Europe Music Award za celosvětový počin', 'MTV Europe Music Award for Best Swedish Act', 'MTV Europe Music Award for Best Nordic Act', 'Musikexportpriset']",,,1Xylc3o4UrD53lo9CvFvVg,
Yzomandias,Q29066314,True,Yzomandias,Czech rapper,český rapper,člověk,['trap'],+1991-03-21T00:00:00Z,,,,,,muž,Karlovy Vary,Česko,['Česko'],,,['hlas'],,,,721o1Z0J6jQupyzLt9RnEk,
Nightwork,Q7172701,True,Nightwork,Czech musical group,česká hudební skupina,hudební skupina,,,,,,,,,,,,,,,['Cena Anděl Skupina roku'],,,,
Škwor,Q392143,True,Škwor,Czech rock band,hudební skupina,hudební skupina,['nu metal'],,,,,,,,,,,,,,,,,,
Hana Zagorová,Q3507535,True,Hana Zagorová,Czech actress and singer,česká zpěvačka a herečka,člověk,['pop music'],+1946-09-06T00:00:00Z,+2022-08-26T00:00:00Z,+1963-00-00T00:00:00Z,,,,žena,Petřkovice,Česko,"['Československo', 'Česko']",,,['hlas'],"['zasloužilý umělec', 'medaile Za zásluhy']",,,,
Halsey,Q18534249,True,Halsey,American singer-songwriter (born 1994),americká zpěvačka a skladatelka,člověk,"['pop music', 'elektropop', 'synthpop', 'art pop', 'alternative pop', 'alternativní rock', 'alternativní R&B', 'indie pop', 'contemporary R&B']",+1994-09-29T00:00:00Z,,+2012-00-00T00:00:00Z,,,,žena,Edison,Spojené státy americké,['Spojené státy americké'],,,['hlas'],"['Billboard Music Award for Top Hot 100 Song', 'GLAAD Media Award for Outstanding Music Artist', 'MTV Video Music Award for Best K-Pop Video', 'International Dance Music Awards']",,['bisexualita'],26VFTg2z8YR0cCuwLzESi2,
Rita Ora,Q229760,True,Rita Ora,"British singer, actress, songwriter and model",britská zpěvačka-skladatelka a herečka,člověk,"['contemporary R&B', 'urban contemporary']",+1990-11-26T00:00:00Z,,+2008-00-00T00:00:00Z,,,,žena,Priština,Kosovo,['Spojené království'],['kosovský Albánec'],['mezzosoprán'],"['klavír', 'hlas']","['Bambi Award', 'Los Premios 40 Principales for Best International Video', 'MTV Video Music Award for Best Dance Video']",,['bisexualita'],5CCwRZC6euC8Odo6y9X8jr,
Nelly Furtado,Q80424,True,Nelly Furtado,Canadian singer,Kanadská zpěvačka (narozena 1978),člověk,"['pop music', 'rhythm and blues', 'lidová hudba', 'hip hop', 'Latin music', 'folk', 'contemporary R&B']",+1978-12-02T00:00:00Z,,+1996-00-00T00:00:00Z,,,,žena,Victoria,Kanada,"['Portugalsko', 'Kanada']",,['mezzosoprán'],"['kytara', 'klávesový nástroj', 'klavír', 'basová kytara', 'ukulele', 'pozoun', 'hlas']","['komandér Řádu prince Jindřicha', 'Kanadský chodník slávy', 'Cena Grammy za nejlepší ženský popový vokální výkon', 'Latin Grammy Award for Best Female Pop Vocal Album']",,,2jw70GZXlAI8QzWeY2bgRc,
Ariana Grande,Q151892,True,Ariana Grande,American singer and actress (born 1993),americká zpěvačka,člověk,"['pop music', 'contemporary R&B', 'rhythm and blues', 'samba', 'dance-pop', 'soul', 'elektropop']",+1993-06-26T00:00:00Z,,+2008-00-00T00:00:00Z,,,,žena,Boca Raton,Spojené státy americké,['Spojené státy americké'],,['soprán'],"['kytara', 'klavír', 'hlas', 'bicí nástroje']","['Billboard Music Award', ""Kids' Choice Awards"", 'Grammy Award', 'Honorary citizen of Manchester', 'Umělec roku', 'American Music Award for New Artist of the Year']",,,66CXWjxzNUsdJxJ2JdwvnR,+62632674
Peter Aristone,Q15982799,True,Peter Aristone,Slovak singer,slovenský zpěvák,člověk,,+1980-06-04T00:00:00Z,,,,,,muž,Bratislava,Slovensko,['Slovensko'],,,"['kytara', 'hlas']",,,,,
Mark Ronson,Q425821,True,Mark Ronson,British musician (born 1975),anglický hudební producent a hudebník,člověk,"['pop music', 'contemporary R&B']",+1975-09-04T00:00:00Z,,+1993-00-00T00:00:00Z,,,,muž,Notting Hill,Spojené království,"['Spojené království', 'Spojené státy americké']",,,"['bicí souprava', 'klávesový nástroj', 'bicí nástroje', 'basová kytara', 'píšťalové varhany', 'hlas', 'kytara', 'diskžokej', 'fonograf']",['Oscar za nejlepší filmovou píseň'],,,3hv9jJF3adDNsBSIQDqcjp,
Jana Kirschner,Q575764,True,Jana Kirschner,Slovak singer,slovenská zpěvačka,člověk,,+1978-12-29T00:00:00Z,,+1996-00-00T00:00:00Z,,,,žena,Martin,Slovensko,"['Slovensko', 'Československo']",,,['hlas'],,,,,
Jaromír Nohavica,Q942232,True,Jaromír Nohavica,"Czech songwriter, lyricist, and poet","český folkový písničkář, textař, libretista, zpěvák, skladatel a kytarista",člověk,['folk'],+1953-06-07T00:00:00Z,,+1982-00-00T00:00:00Z,,,,muž,Ostrava,Česko,"['Česko', 'Československo']",,,"['kytara', 'heligonka', 'hlas']","['medaile Za zásluhy', 'Premio Tenco', 'Anděl', 'Puškinova medaile', 'Krameriova cena']",,,01x541cuqfktQA8WYDrdn3,
Lumineers,Q496101,True,The Lumineers,American folk rock band,americká folk-rocková kapela,rocková hudební skupina,['folk rock'],,,+2005-00-00T00:00:00Z,,+2005-00-00T00:00:00Z,,,Denver,Spojené státy americké,,,,,,,,16oZKvXb6WkQlVAjwo2Wbg,
Pavel Callta,Q20860286,True,Pavel Callta,"Czech singer, song-writer","český zpěvák, skladatel, textař",člověk,,+1989-02-12T00:00:00Z,,,,,,muž,Česká Lípa,Česko,,,,"['hlas', 'kytara', 'klavír']",,,,37CCQimXW1OQxpV39hMCPC,
Felix Jaehn,Q18943660,True,Felix Jaehn,German DJ and music producer,,člověk,"['deep house', 'Tropical house', 'elektronická taneční hudba']",+1994-08-28T00:00:00Z,,+2012-00-00T00:00:00Z,,,,muž,Hamburk,Německo,['Německo'],,,,,,['bisexualita'],4bL2B6hmLlMWnUEZnorEtG,
Machine Gun Kelly,Q1354843,True,Machine Gun Kelly,American musician (born 1990),americký rapper a zpěvák,člověk,"['hip hop', 'pop rap', 'rap rock', 'pop punk', 'alternativní rock']",+1990-04-22T00:00:00Z,,+2006-00-00T00:00:00Z,,,,muž,Houston,Spojené státy americké,['Spojené státy americké'],,,"['hlas', 'klavír', 'bicí souprava', 'kytara']",,,,6TIYQ3jFPwQSRmorSezPxX,
Jax Jones,Q16995320,True,Jax Jones,"English DJ, songwriter, record producer and remixer",,člověk,['house music'],+1987-07-25T00:00:00Z,,+2013-00-00T00:00:00Z,,,,muž,Londýn,Římská říše,['Spojené království'],,,,,,,4Q6nIcaBED8qUel8bBx6Cr,
Macklemore,Q484874,True,Macklemore,American rapper from Washington,americký rapper,člověk,"['hip hop', 'alternativní hip-hop', 'comedy hip hop']",+1983-06-19T00:00:00Z,,+2000-00-00T00:00:00Z,,,,muž,Seattle,Spojené státy americké,['Spojené státy americké'],,['baryton'],['hlas'],"['Cena Grammy za nejlepší rapovou píseň', 'Nejlepší hiphopový videoklip', 'MTV Video Music Award for Best Video with a Social Message', 'MTV Video Music Award for Best Cinematography', 'Cena Grammy pro nejlepšího nového umělce']",,,3JhNCzhSMTxs9WLGJJxWOY,
Madcon,Q842152,True,Madcon,Norwegian hip hop duo,,hudební duo,"['synthpop', 'hip hop', 'pop music', 'reggae', 'taneční hudba']",,,+1992-00-00T00:00:00Z,,+1992-00-00T00:00:00Z,,,Oslo,Norsko,,,,,"['Spellemannprisen for urban music', 'Spellemannprisen for urban music', 'Spellemannprisen for hit of the year', 'Spellemannova cena za hudební video roku', 'Spellemannprisen for export', 'Spellemannprisen for hit of the year']",,,,
X Ambassadors,Q15963313,True,X Ambassadors,"American rock band from Ithaca, New York",americká rocková skupina,hudební skupina,['alternativní rock'],,,+2009-00-00T00:00:00Z,,+2009-00-00T00:00:00Z,,,Ithaca,Spojené státy americké,,,,,,,,3NPpFNZtSTHheNBaWC82rB,
Arash,Q236748,True,Arash,Iranian singer,Íránský zpěvák a herec,člověk,"['populární hudba', 'folk pop', 'íránská pop music', 'pop music', 'hip hop', 'contemporary R&B']",+1977-04-23T00:00:00Z,,+2003-00-00T00:00:00Z,,,,muž,Teherán,Írán,"['Írán', 'Švédsko']",,,['hlas'],['Zlatý gramofon'],,,7hQmAXAzWI6D350VTgkKTG,
Jennifer Lopez,Q40715,True,Jennifer Lopez,American singer and actress,"americká herečka, zpěvačka, módní návrhářka a tanečnice",člověk,"['elektronická taneční hudba', 'rhythm and blues', 'pop music', 'Latin music', 'hip hop']",+1969-07-24T00:00:00Z,,+1986-00-00T00:00:00Z,,,,žena,Bronx,Spojené státy americké,['Spojené státy americké'],['Portoričané  v USA'],['mezzosoprán'],['hlas'],"['Billboard Music Award for Icon', 'Crystal Award', 'Hvězda na Hollywoodském chodníku slávy', 'Time 100']",,,2DlGxzQSjYe5N6G9nkYghR,
Wanastowi Vjecy,Q10818511,True,Wanastowi Vjecy,Czech rock band,česká hudební skupina,hudební skupina,['rock'],,,+1988-00-00T00:00:00Z,,,,,,,,,,,,,,,
Kanye West,Q15935,True,Kanye West,"American rapper, singer, and producer (born 1977)","americký rapper, zpěvák a producent",člověk,"['hip hop', 'art pop', 'experimentální hudba', 'alternativní hip-hop', 'progressive rap', 'pop music', 'gospel']",+1977-06-08T00:00:00Z,,+1996-00-00T00:00:00Z,,,,muž,Atlanta,Spojené státy americké,['Spojené státy americké'],['Afroameričané'],,"['hlas', 'sampler', 'klávesový nástroj', 'bicí automat']","['BET Award for Best New Artist', 'BET Award for Best Male Hip-Hop Artist', 'BET Award for Video of the Year', 'BET Award for Video of the Year', 'BET Award for Best Group', 'Billboard Music Award for Top Rap Artist', 'American Music Award for Favorite Rap/Hip-Hop Artist', 'American Music Award for Favorite Rap/Hip-Hop Album', 'Cena Grammy za nejlepší rapovou píseň', 'Grammy Award for Best Rap Album', 'Grammy cena pro nejlepší R&B píseň', 'Cena Grammy za nejlepší rapovou píseň', 'Grammy Award for Best Rap Solo Performance', 'Grammy Award for Best Rap Album']",['křesťanství'],,5K4W6rqBFWDnAN6FQUkS6x,
Welshly Arms,Q28452843,True,Welshly Arms,American band,americká hudební skupina,hudební skupina,['rock'],,,+2013-00-00T00:00:00Z,,,,,,,,,,,,,,1xKrH6GSh9CJh8nYwbqW7B,
Duke Dumont,Q9637045,True,Duke Dumont,British music producer and DJ,,člověk,"['house music', 'deep house', 'tech house', 'elektronická taneční hudba']",+1982-08-27T00:00:00Z,,+2006-00-00T00:00:00Z,,,,muž,Londýn,Římská říše,['Spojené království'],,,,,,,61lyPtntblHJvA7FMMhi7E,
Nirvana,Q11649,True,Nirvana,American rock band,americká grungeová kapela,rocková hudební skupina,"['alternativní rock', 'grunge']",,,+1987-00-00T00:00:00Z,+1994-00-00T00:00:00Z,+1987-00-00T00:00:00Z,,,Aberdeen,Spojené státy americké,,,,,"['Rock and Roll Hall of Fame', 'Cena MTV Video Music za nejlepšího nového umělce', 'MTV Video Music Award for Best Alternative Video', 'BRIT Award for International Breakthrough Act', 'MTV Video Music Award for Best Alternative Video', 'Cena MTV za nejlepší uměleckou režii', 'MTV Video Music Award for Best Alternative Video', 'Cena Grammy za nejlepší album alternativní hudby']",,,6olE6TJLqED3rqDCT0FyPh,
Depeche Mode,Q482964,True,Depeche Mode,British band,anglická hudební skupina,hudební skupina,"['synthpop', 'electronica', 'nová vlna', 'dark wave', 'alternativní rock', 'industriální hudba', 'synth rock', 'industriální rock']",,,+1980-00-00T00:00:00Z,,+1980-00-00T00:00:00Z,,,Basildon,Spojené království,,,,,,,,762310PdDnwsDxAQxzQkfX,
Usher,Q165911,True,Usher,American R&B singer (born 1978),"zpěvák, skladatel, choreograf, model, tanečník, herec a podnikatel",člověk,"['rhythm and blues', 'soul', 'pop music', 'hip hop']",+1978-10-14T00:00:00Z,,+1993-00-00T00:00:00Z,,,,muž,Dallas,Spojené státy americké,['Spojené státy americké'],,['tenor'],['hlas'],"['Grammy Award for Best Rap/Sung Collaboration', 'Amadeus Austrian Music Awards', 'Hvězda na Hollywoodském chodníku slávy']",,,23zg3TcAtWQy7J6upgbUnj,
Ava Max,Q56755505,True,Ava Max,American singer and songwriter,americká zpěvačka a textařka,člověk,['dance-pop'],+1994-02-16T00:00:00Z,,+2013-00-00T00:00:00Z,,,,žena,Milwaukee,Spojené státy americké,['Spojené státy americké'],['Albánci'],,['hlas'],,,,4npEfmQ6YuiwW1GpUmaq3F,
Niall Horan,Q775231,True,Niall Horan,Irish singer-songwriter,irský zpěvák,člověk,"['pop music', 'pop rock', 'folk pop']",+1993-09-13T00:00:00Z,,+2010-00-00T00:00:00Z,,,,muž,Mullingar,Irsko,['Irsko'],,,"['hlas', 'kytara', 'klavír']",['American Music Award for New Artist of the Year'],,,1Hsdzj7Dlq2I7tHP7501T4,
Cascada,Q858880,True,Cascada,German electronic dance music group,hudební skupina,hudební skupina,['Euro-Trance'],,,+2004-00-00T00:00:00Z,,+2004-00-00T00:00:00Z,,,Bonn,Německo,,,,['syntezátor'],,,,,
Roxette,Q173790,True,Roxette,Swedish pop duo,švédské hudební duo,pop duo,"['rock', 'pop music', 'Europop', 'pop rock', 'soft rock']",,,+1986-00-00T00:00:00Z,+2016-00-00T00:00:00Z,+1986-00-00T00:00:00Z,,,Halmstad,Švédsko,,,,,['Musikexportpriset'],,,2SHhfs4BiDxGQ3oxqf0UHY,
Louis Tomlinson,Q3624971,True,Louis Tomlinson,English singer and songwriter,anglický zpěvák,člověk,"['pop music', 'elektropop', 'pop rock', 'indie rock']",+1991-12-24T00:00:00Z,,+2010-00-00T00:00:00Z,,,,muž,Doncaster,Spojené království,['Spojené království'],,['tenor'],['hlas'],,,,57WHJIHrjOE3iAxpihhMnp,
Gwen Stefani,Q483379,True,Gwen Stefani,American singer-songwriter,americká zpěvačka,člověk,"['pop music', 'contemporary R&B', 'ska', 'electronica', 'nová vlna', 'rock']",+1969-10-03T00:00:00Z,,+1986-00-00T00:00:00Z,,,,žena,Fullerton,Spojené státy americké,['Spojené státy americké'],,['mezzosoprán'],['hlas'],"['American Music Award for Favorite Pop/Rock Female Artist', 'Billboard Music Award for Top New Artist', 'Brit Award pro sólovou umělkyni', 'MTV Video Music Award for Best Choreography', 'Cena MTV za nejlepší uměleckou režii', 'Cena MTV za nejlepší uměleckou režii', 'Cena MTV za nejlepší uměleckou režii', 'Grammy Award for Best Rap/Sung Collaboration', 'Grammy Award for Best Pop Performance by a Duo or Group with Vocals', 'Grammy Award for Best Pop Performance by a Duo or Group with Vocals']",['katolická církev'],,4yiQZ8tQPux8cPriYMWUFP,
Armin Van Buuren,Q62617,True,Armin van Buuren,"Dutch DJ, record producer and remixer",nizozemský producent a DJ,člověk,"['trance', 'psychedelický trance', 'vocal trance', 'progressive house', 'pop music', 'electro house', 'uplifting trance', 'deep house', 'elektronická taneční hudba', 'hardstyle', 'techno', 'progressive trance', 'dance-pop', 'future rave']",+1976-12-25T00:00:00Z,,+1995-00-00T00:00:00Z,,,,muž,Leiden,Nizozemsko,['Nizozemské království'],,,"['syntezátor', 'Logic Pro', 'Ableton Live', 'Pro Tools']","['Gouden Harp', 'Popprijs', 'International Dance Music Awards', 'důstojník Oranžsko-nasavského řádu']",,,0SfsnGyD8FpIN4U4WCkBZ5,
Kaiser Chiefs,Q192308,True,Kaiser Chiefs,English indie rock band,britská hudební skupina,hudební skupina,"['punk rock', 'indie rock', 'rock', 'power pop', 'Britpop']",,,+2000-00-00T00:00:00Z,,+2000-00-00T00:00:00Z,,,Leeds,Spojené království,,,,,,,,0LbLWjaweRbO4FDKYlbfNt,
Charlie Puth,Q19810390,True,Charlie Puth,American singer and songwriter,americký zpěvák,člověk,"['pop music', 'contemporary R&B']",+1991-12-02T00:00:00Z,,+2009-00-00T00:00:00Z,,,,muž,Rumson,Spojené státy americké,['Spojené státy americké'],,['baritenor'],"['klavír', 'hlas']","['Broadcast Film Critics Association Award for Best Song', ""Kids' Choice Awards"", 'Teen Choice Awards', 'Billboard Music Award for Top Hot 100 Song', 'Billboard Music Award for Top Rap Song', 'Circle Chart Music Awards', 'Genie Music Awards', ""People's Choice Awards""]",,,6VuMaDnrHyPL1p4EHjYLi7,
Amy Macdonald,Q15902,True,Amy Macdonald,Scottish singer-songwriter,,člověk,"['soft rock', 'indie pop', 'folk rock']",+1987-08-25T00:00:00Z,,+2007-00-00T00:00:00Z,,,,žena,Bishopbriggs,Spojené království,['Spojené království'],,['alt'],"['kytara', 'hlas']",['Silver Clef Award'],,,1hJuGCUpefX24GFmss9bjH,
Aloe Blacc,Q49319,True,Aloe Blacc,American singer and rapper,americký zpěvák,člověk,"['soul', 'rhythm and blues', 'jazz']",+1979-01-07T00:00:00Z,,+1995-00-00T00:00:00Z,,,,muž,Newport Beach,Spojené státy americké,['Spojené státy americké'],,['baryton'],"['trubka', 'hlas', 'basová kytara', 'klávesový nástroj']",,,,0id62QV2SZZfvBn9xpmuCl,
Emma Drobná,Q27897742,True,Emma Drobná,Slovak singer,slovenská zpěvačka,člověk,,+1994-03-24T00:00:00Z,,+2015-00-00T00:00:00Z,,,,žena,Nové Mesto nad Váhom,Slovensko,['Slovensko'],,,['hlas'],['Česko Slovenská SuperStar (4. řada)'],,,,
Sergei Barracuda,Q20058093,True,Sergei Barracuda,Czech rapper,český rapper,člověk,,+1990-05-31T00:00:00Z,,,,,,muž,Ostrava,Česko,,,,['hlas'],,,,,
Rytmus,Q3488250,True,Rytmus,Slovak rapper,slovenský rapper,člověk,"['hip hop', 'dubstep']",+1977-01-03T00:00:00Z,,+1992-00-00T00:00:00Z,,,,muž,Kroměříž,Česko,['Slovensko'],,,['hlas'],,,,,
All American Rejects,Q214237,True,The All-American Rejects,American rock band,,hudební skupina,['punk rock'],,,+1999-00-00T00:00:00Z,,+1999-00-00T00:00:00Z,,,Stillwater,Spojené státy americké,,,,,,,,3vAaWhdBR38Q02ohXqaNHT,
Rammstein,Q25177,True,Rammstein,German rock band,německá metalová skupina,hudební skupina,"['Neue Deutsche Härte', 'industriální metal', 'shock rock']",,,+1994-00-00T00:00:00Z,,+1994-01-00T00:00:00Z,,,Berlín,Braniborské markrabství,,,,,"['MTV Europe Music Award', 'Preis für Popkultur', 'Echo Pop za nejlepší živou akci', 'Echo Pop za nejlepší německý videoklip']",,,6wWVKhxIU2cEi0K81v7HvP,
Nico,Q44634,True,Nico,German singer and actress (1938–1988),"německá hudebnice, zpěvačka, herečka a modelka",člověk,['rock'],+1938-10-16T00:00:00Z,+1988-07-18T00:00:00Z,+1954-00-00T00:00:00Z,,,,žena,Kolín nad Rýnem,Německo,['Německo'],,['alt'],"['harmonium', 'tamburin', 'hlas']",,,,0IwlY33zbBXN7zlS9DP2Cj,
Martin Jensen,Q21039224,True,Martin Jensen,Danish DJ and producer,,člověk,,+1991-09-29T00:00:00Z,,+2014-00-00T00:00:00Z,,,,muž,Silkeborg,Dánsko,['Dánsko'],,,,,,,4ehtJnVumNf6xzSCDk8aLB,
Lil Peep,Q29388200,True,Lil Peep,American rapper,americký rapper,člověk,"['hard rock', 'trap', 'lo-fi music', 'pop punk', 'emo rap']",+1996-11-01T00:00:00Z,+2017-11-15T00:00:00Z,+2014-00-00T00:00:00Z,+2017-00-00T00:00:00Z,,,muž,Allentown,Spojené státy americké,"['Spojené státy americké', 'Švédsko']",['švédští Američané'],,['hlas'],,,['bisexualita'],2kCcBybjl3SAtIcwdWpUe3,
Post Malone,Q21621919,True,Post Malone,"American rapper, singer, and songwriter","americký zpěvák, rapper a kytarista",člověk,"['hip hop', 'pop music', 'contemporary R&B']",+1995-07-04T00:00:00Z,,+2013-00-00T00:00:00Z,,,,muž,Syracuse,Spojené státy americké,['Spojené státy americké'],,['baryton'],"['hlas', 'kytara']",['Favorite Pop/Rock Male Artist'],,,246dkjvS1zLTtiykXe5h60,
Lenka Filipová,Q15249858,True,Lenny,Czech singer,česká zpěvačka,člověk,['pop music'],+1993-09-25T00:00:00Z,,+2013-00-00T00:00:00Z,,,,žena,Praha,Česko,['Česko'],,,"['klavír', 'hlas']","['Ceny Anděl 2016', 'Cena Anděl Sólová interpretka roku']",,,,
Barbora Poláková,Q11052902,True,Barbora Poláková,Czech actress and singer,česká herečka a zpěvačka,člověk,,+1983-10-03T00:00:00Z,,+2005-00-00T00:00:00Z,,,,žena,Kolín,Česko,['Česko'],,,,['Cena Anděl Sólová interpretka roku'],,,,
Renne Dang,Q29582910,True,Renne Dang,Czech rapper,český rapper,člověk,"['rap', 'pop music', 'hip hop']",+1995-02-24T00:00:00Z,,,,,,muž,Rychnov nad Kněžnou,Česko,['Česko'],,,['hlas'],,,,,
Take That,Q152066,True,Take That,British five-piece vocal pop group,hudební skupina,boy band,"['pop music', 'funk']",,,+1990-00-00T00:00:00Z,+1996-00-00T00:00:00Z,+1990-00-00T00:00:00Z,+1996-00-00T00:00:00Z,,Manchester,Spojené království,,,,,['The Record of the Year'],,,1XgFuvRd7r5g0h844A5ZUQ,
Xxxtentacion,Q28561969,True,XXXTentacion,American rapper (1998–2018),americký rapper,člověk,"['hip hop', 'rap rock', 'rhythm and blues', 'trap', 'emo rap', 'Emo', 'mumble rap', 'contemporary R&B', 'punk rock', 'heavy metal', 'Horrorcore']",+1998-01-23T00:00:00Z,+2018-06-18T00:00:00Z,+2013-00-00T00:00:00Z,+2018-00-00T00:00:00Z,,,muž,Plantation,Spojené státy americké,['Spojené státy americké'],['Američané jamajského původu'],,"['hlas', 'kytara', 'klavír', 'buben']",['Diamond Play Button'],,,15UsOTVnJzReFVN1VCnxy4,
Bebe Rexha,Q16185856,True,Bebe Rexha,American singer and songwriter,americká zpěvačka a písničkářka,člověk,"['pop music', 'dance-pop', 'contemporary R&B', 'elektropop', 'hip hop']",+1989-08-30T00:00:00Z,,+2010-00-00T00:00:00Z,,,,žena,Brooklyn,Spojené státy americké,['Spojené státy americké'],,['soprán'],"['kytara', 'trubka', 'klavír', 'hlas', 'harmonika']",['iHeartRadio Music Awards'],,['fluidní sexualita'],64M6ah0SkkRsnPGtGiRAbb,
