,hitparada,rok,mesic,pozice,track,interpret,interpret_hlavni,vydavatel
253965,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,47,Andělé,Atmo Music,Atmo Music,Warner Music
253966,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,48,Slovenský klín,Chinaski,Chinaski,Brainzone
253967,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,49,Je mi to líto,Mandrage,Mandrage,Universal Music
253968,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,50,Všechno je trapný,Mandrage,Mandrage,Universal Music
254169,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,1,Prázdnej sex,Ektor,Ektor,Detektor/universal Music
254170,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,2,Nafrněná,Barbora Poláková,Barbora Poláková,Supraphon
254171,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,3,Ty a já,Kryštof,Kryštof,I.richmond.p./universal Music
254172,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,4,Celibát,Slza,Slza,Universal Music
254173,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,5,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
254174,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,6,Primetime,Majk Spirit,Majk Spirit,Nan
254175,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,7,Katarze,Slza,Slza,Universal Music
254176,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,8,Toulavá,Sebastian,Sebastian,Warner Music
254177,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,9,Ona se smála,Mandrage,Mandrage,Universal Music
254178,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,10,Vstříc nekonečnům,Slza,Slza,Universal Music
254179,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,11,Ráno,Atmo Music & Jakub Děkan,Atmo Music,Warner Music
254180,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,12,Každý ráno,Chinaski,Chinaski,Brainzone
254181,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,13,Cesta z města,Mirai,Mirai,Universal Music
254182,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,14,Boomerang,Paulie Garand & Kenny Rough,Paulie Garand,Ty Nikdy Records
254183,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,15,Peníze,Ektor & Rytmus,Ektor,Nan
254184,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,16,Vánoční,Johny Machette & Teri Blitzen,Johny Machette,Championship Music
254185,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,17,Lhůta záruční,Slza,Slza,Universal Music
254186,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,18,Cesta,Kryštof & Tomáš Klus,Kryštof,Universal Music
254187,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,19,Nemůžu si dovolit,Ben Cristovao,Ben Cristovao,Championship Music
254188,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,20,Záchranný bod,Sebastian,Sebastian,Warner Music
254189,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,21,Těžký váhy,Ben Cristovao,Ben Cristovao,Championship Music
254190,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,22,Víno,Chinaski,Chinaski,Brainzone
254191,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,23,Srdcebeat,Kryštof,Kryštof,I.richmond.p./universal Music
254192,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,24,V blbým věku,Xindl X,Xindl X,Universal Music
254193,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,25,Etikety,Slza,Slza,Universal Music
254194,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,26,Let It Go,James Bay,James Bay,Universal Music
254195,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,27,Sweet Chilli,Ben Cristovao,Ben Cristovao,Championship Music
254196,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,28,Labyrint,Paulie Garand & Kenny Rough,Paulie Garand,Ty Nikdy Records
254197,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,29,Zakázané uvolnění,Michal Hrůza,Michal Hrůza,Universal Music
254198,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,30,Láska & hvězdy,Chinaski,Chinaski,Brainzone
254199,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,31,Pozice off,Slza,Slza,Universal Music
254200,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,32,Fáze pád,Slza,Slza,Universal Music
254201,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,33,Tělo,Ben Cristovao,Ben Cristovao,Championship Music
254202,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,34,Polety,Atmo Music,Atmo Music,Warner Music
254203,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,35,Brouci,Mandrage,Mandrage,Universal Music
254204,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,36,Atrakce,Slza,Slza,Universal Music
254205,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,37,V dešti zášti,Slza,Slza,Universal Music
254206,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,38,Slovenský klín,Chinaski,Chinaski,Brainzone
254207,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,39,Nádech,Paulie Garand & Kenny Rough,Paulie Garand,Ty Nikdy Records
254208,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,40,Instagram,Ben Cristovao,Ben Cristovao,Championship Music
254209,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,41,Terapeut,Pavel Callta,Pavel Callta,Warner Music
254210,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,42,Hlavolam,Chinaski,Chinaski,Universal Music
254211,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,43,Pláštěnky,Nebe,Nebe,Universal Music
254212,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,44,Pouta,Slza,Slza,Universal Music
254213,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,45,Andělé,Atmo Music,Atmo Music,Warner Music
254214,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,46,Co bylo dál?,Jelen & Jana Kirschner,Jelen,Singlton/universal Music
254215,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,47,Me & The Rythm,Selena Gomez,Selena Gomez,Universal Music
254216,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,48,Tak pojď hledat břeh,Kryštof,Kryštof,I.richmond.p./universal Music
254217,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,49,Křídla z mýdla,Kryštof/jaromír Nohavica,Kryštof,Universal Music
254218,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,1,50,Travolta,Mandrage,Mandrage,Universal Music
256469,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,1,Asio,Ben Cristovao & The Glowsticks,Ben Cristovao,Championship Music
256470,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,2,Popelka,Xindl X,Xindl X,Universal Music
256471,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,3,Hell.o,Lenny,Lenny,Universal Music
256472,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,4,Dobré ráno,Tomáš Klus,Tomáš Klus,Tomáš Klus
256473,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,5,Play,Paulie Garand,Paulie Garand,Ty Nikdy / Universal Music
256474,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,6,Slovenský klín,Chinaski,Chinaski,Brainzone
256475,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,7,Na ostří nože,Ewa Farna,Ewa Farna,Universal Music
256476,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,8,Ty a já,Kryštof,Kryštof,I.richmond.p./universal Music
256477,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,9,Každý ráno,Chinaski,Chinaski,Brainzone
256478,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,10,Sweet Chilli,Ben Cristovao,Ben Cristovao,Championship Music
256479,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,11,Lover,Lenny,Lenny,Universal Music
256480,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,12,Ona se smála,Mandrage,Mandrage,Universal Music
256481,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,13,Travolta,Mandrage,Mandrage,Universal Music
256482,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,14,Klidná jako voda,Jelen,Jelen,Singlton/universal Music
256483,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,15,Léto lásky,Summer All Stars & Slza,Summer All Stars,Universal Music
256484,CZ - SINGLES DIGITAL - TOP 50  CZ,2016,10,16,Vlčí srdce,Jelen,Jelen,Singlton/universal Music
