,hitparada,rok,tyden,week,pozice,track,interpret,interpret_hlavni,vydavatel
979,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,80,Sexual,Neiked,Neiked,Universal Music
980,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,81,This Girl,Kungs & Cookin' On 3 Burners & Kylie Auldist,Kungs,Universal Music
981,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,82,We Don't Talk Anymore,Charlie Puth & Selena Gomez,Charlie Puth,Warner Music
982,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,83,Trust Nobody,Cashmere Cat & Selena Gomez & Tory Lanez,Cashmere Cat,Universal Music
983,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,84,Love Yourself,Justin Bieber,Justin Bieber,Universal Music
984,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,85,Ain't My Fault,Zara Larsson,Zara Larsson,Sony Music
985,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,86,Lot To Learn,Luke Christopher,Luke Christopher,Sony Music
986,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,87,Setting Fires,Chainsmokers & Xylo,Chainsmokers,Sony Music
987,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,88,Skutočne kvalitný,Rytmus & Čistychov,Rytmus,Tvoj Tatko Records
988,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,89,Tlak,Rytmus & Dms & Ego,Rytmus,Tvoj Tatko Records
989,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,90,Ride,Twenty One Pilots,Twenty One Pilots,Warner Music
990,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,91,Make Me (Cry),Noah Cyrus & Labrinth,Noah Cyrus,Sony Music
991,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,92,Steady 1234,Vice & Jasmine Thompson & Skizzy Mars,Vice,Warner Music
992,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,93,Nepatrím nikomu,Rytmus,Rytmus,Tvoj Tatko Records
993,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,94,Stokára nemôžeš dojebať,Rytmus & P.A.T.,Rytmus,Tvoj Tatko Records
994,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,95,Lighthouse (Andrelli Remix),Hearts & Colors,Hearts,Nan
995,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,96,Lean On,Major Lazer & Dj Snake & Mo,Major Lazer,Warner Music
996,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,97,"Me, Myself & I",G-Eazy & Bebe Rexha,G-Eazy,Sony Music
997,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,98,Fast Car,Jonas Blue & Dakota,Jonas Blue,Universal Music
998,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,99,Odpusť,Rytmus,Rytmus,Tvoj Tatko Records
999,SK - SINGLES DIGITAL - TOP 100,2017,01,2017-01,100,Sorry,Justin Bieber,Justin Bieber,Universal Music
1000,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,1,Shape of You,Ed Sheeran,Ed Sheeran,Warner Music
1001,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,2,Castle on the Hill,Ed Sheeran,Ed Sheeran,Warner Music
1002,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,3,Starboy,The Weeknd & Daft Punk,The Weeknd,Universal Music
1003,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,4,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn Malik & Taylor Swift,Zayn Malik,Universal Music
1004,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,5,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
1005,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,6,Alone,Alan Walker,Alan Walker,Sony Music
1006,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,7,Closer,Chainsmokers & Halsey,Chainsmokers,Sony Music
1007,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,8,Black Beatles,Rae Sremmurd & Gucci Mane,Rae Sremmurd,Universal Music
1008,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,9,Let Me Love You,Dj Snake & Justin Bieber,Dj Snake,Universal Music
1009,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,10,I Feel It Coming,The Weeknd & Daft Punk,The Weeknd,Universal Music
1010,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,11,My Way,Calvin Harris,Calvin Harris,Sony Music
1011,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,12,Don't Wanna Know,Maroon 5 & Kendrick Lamar,Maroon 5,Universal Music
1012,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,13,Say You Won't Let Go,James Arthur,James Arthur,Sony Music
1013,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,14,24K Magic,Bruno Mars,Bruno Mars,Warner Music
1014,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,15,Lost On You,Lp,Lp,Universal Music
1015,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,16,Call On Me - Ryan Riback Remix,Starley,Starley,Nan
1016,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,17,Million Reasons,Lady Gaga,Lady Gaga,Universal Music
1017,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,18,Heathens,Twenty One Pilots,Twenty One Pilots,Warner Music
1018,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,19,Mercy,Shawn Mendes,Shawn Mendes,Universal Music
1019,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,20,Just Hold On,Steve Aoki & Louis Tomlinson,Steve Aoki,Sony Music
1020,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,21,In The Name Of Love,Martin Garrix & Bebe Rexha,Martin Garrix,Sony Music
1021,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,22,The Greatest,Sia & Kendrick Lamar,Sia,Sony Music
1022,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,23,Keď sa budú pýtať,Rytmus & Kali,Rytmus,Tvoj Tatko Records
1023,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,24,Cheap Thrills,Sia,Sia,Sony Music
1024,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,25,All We Know,Chainsmokers & Phoebe Ryan,Chainsmokers,Sony Music
1025,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,26,Povolanie syn,Rytmus,Rytmus,Tvoj Tatko Records
1026,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,27,Treat You Better,Shawn Mendes,Shawn Mendes,Universal Music
1027,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,28,Chantaje,Shakira & Maluma,Shakira,Sony Music
1028,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,29,Would I Lie To You,David Guetta  & Chris Willis,David Guetta,Warner Music
1029,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,30,Fake Love,Drake,Drake,Universal Music
1030,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,31,Gádže nemíňajú lóve,Rytmus,Rytmus,Tvoj Tatko Records
1031,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,32,Cold Water,Major Lazer & Justin Bieber & Mo,Major Lazer,Warner Music
1032,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,33,Now and Later,Sage The Gemini,Sage The Gemini,Warner Music
1033,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,34,Can´t Stop The Feeling!,Justin Timberlake,Justin Timberlake,Sony Music
1034,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,35,Hymn For The Weekend,Coldplay,Coldplay,Warner Music
1035,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,36,All Time Low,Jon Bellion,Jon Bellion,Universal Music
1036,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,37,Solo Dance,Martin Jensen,Martin Jensen,Universal Music
1037,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,38,I Would Like,Zara Larsson,Zara Larsson,Sony Music
1038,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,39,All Night,Vamps & Matoma,Vamps,Universal Music
1039,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,40,Bad Things,Machine Gun Kelly & Camila Cabello,Machine Gun Kelly,Universal Music
1040,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,41,By Your Side,Jonas Blue & Raye,Jonas Blue,Universal Music
1041,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,42,Love Me Now,John Legend,John Legend,Sony Music
1042,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,43,Don't Let Me Down,Chainsmokers,Chainsmokers,Sony Music
1043,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,44,The Ocean,Mike Perry & Shy Martin,Mike Perry,Sony Music
1044,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,45,Scars To Your Beautiful,Alessia Cara,Alessia Cara,Universal Music
1045,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,46,Side To Side,Ariana Grande & Nicki Minaj,Ariana Grande,Universal Music
1046,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,47,I Got You,Bebe Rexha,Bebe Rexha,Warner Music
1047,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,48,Shed A Light,Robin Schulz & David Guetta & Cheat Codes,Robin Schulz,Warner Music
1048,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,49,One Dance,Drake,Drake,Universal Music
1049,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,50,How Far I'll Go,Alessia Cara,Alessia Cara,Universal Music
1050,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,51,Photograph,Ed Sheeran,Ed Sheeran,Warner Music
1051,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,52,Nevinné,Rytmus & Ego,Rytmus,Tvoj Tatko Records
1052,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,53,Starving,Hailee Steinfeld & Zedd & Grey,Hailee Steinfeld,Universal Music
1053,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,54,Motivujem mladých ludí,Rytmus,Rytmus,Tvoj Tatko Records
1054,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,55,Don't Leave,Snakehips,Snakehips,Sony Music
1055,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,56,Kandino Patkani,Rytmus & Sergei Barracuda,Rytmus,Tvoj Tatko Records
1056,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,57,Love On The Brain,Rihanna,Rihanna,Universal Music
1057,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,58,Panda,Desiigner,Desiigner,Universal Music
1058,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,59,Sunset Lover,Petit Biscuit,Petit Biscuit,Nan
1059,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,60,Faded,Alan Walker,Alan Walker,Sony Music
1060,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,61,Je nám úplne jedno,Rytmus & Separ & James Cole,Rytmus,Tvoj Tatko Records
1061,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,62,Hear Me Now,Alok & Bruno Martini & Zeeba,Alok,Warner Music
1062,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,63,Stressed Out,Twenty One Pilots,Twenty One Pilots,Warner Music
1063,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,64,I Took A Pill In Ibiza (SeeB Remix),Mike Posner,Mike Posner,Universal Music
1064,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,65,Love My Life,Robbie Williams,Robbie Williams,Sony Music
1065,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,66,Bad and Boujee,Migos,Migos,Nan
1066,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,67,Ďakujem,Rytmus & Majk Spirit & Elpe,Rytmus,Tvoj Tatko Records
1067,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,68,Perfect Strangers,Jonas Blue,Jonas Blue,Universal Music
1068,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,69,Weak,Ajr,Ajr,Nan
1069,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,70,Obrazy,Rytmus & Laris Diam,Rytmus,Tvoj Tatko Records
1070,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,71,Kktko,Rytmus,Rytmus,Tvoj Tatko Records
1071,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,72,The Mack,Nevada,Nevada,Universal Music
1072,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,73,Setting Fires,Chainsmokers & Xylo,Chainsmokers,Sony Music
1073,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,74,We Don't Talk Anymore,Charlie Puth & Selena Gomez,Charlie Puth,Warner Music
1074,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,75,Final Song,Mo,Mo,Sony Music
1075,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,76,Make Me (Cry),Noah Cyrus & Labrinth,Noah Cyrus,Sony Music
1076,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,77,Work From Home,Fifth Harmony & Ty Dolla $Ing,Fifth Harmony,Sony Music
1077,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,78,Thinking Out Loud,Ed Sheeran,Ed Sheeran,Warner Music
1078,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,79,Steady 1234,Vice & Jasmine Thompson & Skizzy Mars,Vice,Warner Music
1079,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,80,Ain't My Fault,Zara Larsson,Zara Larsson,Sony Music
1080,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,81,Trust Nobody,Cashmere Cat & Selena Gomez & Tory Lanez,Cashmere Cat,Universal Music
1081,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,82,I See Fire,Ed Sheeran,Ed Sheeran,Warner Music
1082,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,83,This Is What You Came For,Calvin Harris & Rihanna,Calvin Harris,Sony Music
1083,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,84,Sex,Cheat Codes & Kris Kross Amsterdam,Cheat Codes,Warner Music
1084,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,85,Lighthouse (Andrelli Remix),Hearts & Colors,Hearts,Nan
1085,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,86,Choďte šeci do p*če,Dj Wich & Strapo & Ektor & Hrdlořez Boris,Dj Wich,Golden Touch
1086,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,87,Lot To Learn,Luke Christopher,Luke Christopher,Sony Music
1087,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,88,Party Monster,The Weeknd & Daft Punk,The Weeknd,Universal Music
1088,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,89,Light It Up,Major Lazer & Nyla & Fuse Odg,Major Lazer,Warner Music
1089,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,90,Ride,Twenty One Pilots,Twenty One Pilots,Warner Music
1090,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,91,Sucker For Pain,Lil Wayne & Wiz Khalifa & Imagine Dragons,Lil Wayne,Warner Music
1091,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,92,Sexual,Neiked,Neiked,Universal Music
1092,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,93,Love Yourself,Justin Bieber,Justin Bieber,Universal Music
1093,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,94,Cem šetko a teraz,Rytmus & Ektor,Rytmus,Tvoj Tatko Records
1094,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,95,Hladám odpoveď,Rytmus & Laris Diam,Rytmus,Tvoj Tatko Records
1095,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,96,Dynamite,Nause & Pretty Sister,Nause,Warner Music
1096,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,97,Sofia,Alvaro Soler,Alvaro Soler,Universal Music
1097,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,98,XXXXX_10 minút,Nerieš & Dms,Nerieš,Nan
1098,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,99,Not Going Home,Dvbbs,Dvbbs,Warner Music
1099,SK - SINGLES DIGITAL - TOP 100,2017,02,2017-02,100,Light,San Holo,San Holo,Nan
1100,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,1,Shape of You,Ed Sheeran,Ed Sheeran,Warner Music
1101,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,2,Castle on the Hill,Ed Sheeran,Ed Sheeran,Warner Music
1102,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,3,Starboy,The Weeknd & Daft Punk,The Weeknd,Universal Music
1103,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,4,Paris,Chainsmokers,Chainsmokers,Sony Music
1104,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,5,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
1105,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,6,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn Malik & Taylor Swift,Zayn Malik,Universal Music
1106,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,7,Alone,Alan Walker,Alan Walker,Sony Music
1107,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,8,Closer,Chainsmokers & Halsey,Chainsmokers,Sony Music
1108,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,9,Let Me Love You,Dj Snake & Justin Bieber,Dj Snake,Universal Music
1109,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,10,My Way,Calvin Harris,Calvin Harris,Sony Music
1110,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,11,I Feel It Coming,The Weeknd & Daft Punk,The Weeknd,Universal Music
1111,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,12,Black Beatles,Rae Sremmurd & Gucci Mane,Rae Sremmurd,Universal Music
1112,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,13,Call On Me - Ryan Riback Remix,Starley,Starley,Nan
1113,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,14,Don't Wanna Know,Maroon 5 & Kendrick Lamar,Maroon 5,Universal Music
1114,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,15,Choďte šeci do p*če,Dj Wich & Strapo & Ektor & Hrdlořez Boris,Dj Wich,Golden Touch
1115,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,16,Say You Won't Let Go,James Arthur,James Arthur,Sony Music
1116,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,17,Lost On You,Lp,Lp,Universal Music
1117,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,18,Million Reasons,Lady Gaga,Lady Gaga,Universal Music
1118,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,19,Heathens,Twenty One Pilots,Twenty One Pilots,Warner Music
1119,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,20,Just Hold On,Steve Aoki & Louis Tomlinson,Steve Aoki,Sony Music
1120,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,21,24K Magic,Bruno Mars,Bruno Mars,Warner Music
1121,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,22,In The Name Of Love,Martin Garrix & Bebe Rexha,Martin Garrix,Sony Music
1122,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,23,Solo Dance,Martin Jensen,Martin Jensen,Universal Music
1123,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,24,All We Know,Chainsmokers & Phoebe Ryan,Chainsmokers,Sony Music
1124,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,25,The Greatest,Sia & Kendrick Lamar,Sia,Sony Music
1125,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,26,Gádže nemíňajú lóve,Rytmus,Rytmus,Tvoj Tatko Records
1126,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,27,Mercy,Shawn Mendes,Shawn Mendes,Universal Music
1127,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,28,All Time Low,Jon Bellion,Jon Bellion,Universal Music
1128,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,29,Chantaje,Shakira & Maluma,Shakira,Sony Music
1129,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,30,Hymn For The Weekend,Coldplay,Coldplay,Warner Music
1130,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,31,All Night,Vamps & Matoma,Vamps,Universal Music
1131,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,32,Now and Later,Sage The Gemini,Sage The Gemini,Warner Music
1132,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,33,Povolanie syn,Rytmus,Rytmus,Tvoj Tatko Records
1133,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,34,Keď sa budú pýtať,Rytmus & Kali,Rytmus,Tvoj Tatko Records
1134,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,35,Fake Love,Drake,Drake,Universal Music
1135,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,36,Cheap Thrills,Sia,Sia,Sony Music
1136,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,37,How Far I'll Go,Alessia Cara,Alessia Cara,Universal Music
1137,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,38,I Would Like,Zara Larsson,Zara Larsson,Sony Music
1138,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,39,Bad Things,Machine Gun Kelly & Camila Cabello,Machine Gun Kelly,Universal Music
1139,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,40,Don't Leave,Snakehips,Snakehips,Sony Music
1140,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,41,Love Me Now,John Legend,John Legend,Sony Music
1141,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,42,Cold Water,Major Lazer & Justin Bieber & Mo,Major Lazer,Warner Music
1142,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,43,Would I Lie To You,David Guetta  & Chris Willis,David Guetta,Warner Music
1143,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,44,By Your Side,Jonas Blue & Raye,Jonas Blue,Universal Music
1144,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,45,Can´t Stop The Feeling!,Justin Timberlake,Justin Timberlake,Sony Music
1145,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,46,Treat You Better,Shawn Mendes,Shawn Mendes,Universal Music
1146,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,47,Don't Let Me Down,Chainsmokers,Chainsmokers,Sony Music
1147,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,48,Shed A Light,Robin Schulz & David Guetta & Cheat Codes,Robin Schulz,Warner Music
1148,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,49,Side To Side,Ariana Grande & Nicki Minaj,Ariana Grande,Universal Music
1149,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,50,I Got You,Bebe Rexha,Bebe Rexha,Warner Music
1150,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,51,The Ocean,Mike Perry & Shy Martin,Mike Perry,Sony Music
1151,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,52,Hear Me Now,Alok & Bruno Martini & Zeeba,Alok,Warner Music
1152,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,53,Motivujem mladých ludí,Rytmus,Rytmus,Tvoj Tatko Records
1153,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,54,Sexual,Neiked,Neiked,Universal Music
1154,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,55,Scars To Your Beautiful,Alessia Cara,Alessia Cara,Universal Music
1155,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,56,Weak,Ajr,Ajr,Nan
1156,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,57,Všechno nebo nic,Ewa Farna,Ewa Farna,Universal Music
1157,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,58,Setting Fires,Chainsmokers & Xylo,Chainsmokers,Sony Music
1158,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,59,One Dance,Drake,Drake,Universal Music
1159,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,60,Love On The Brain,Rihanna,Rihanna,Universal Music
1160,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,61,Starving,Hailee Steinfeld & Zedd & Grey,Hailee Steinfeld,Universal Music
1161,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,62,Sunset Lover,Petit Biscuit,Petit Biscuit,Nan
1162,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,63,Stressed Out,Twenty One Pilots,Twenty One Pilots,Warner Music
1163,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,64,Love My Life,Robbie Williams,Robbie Williams,Sony Music
1164,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,65,Faded,Alan Walker,Alan Walker,Sony Music
1165,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,66,Make Me (Cry),Noah Cyrus & Labrinth,Noah Cyrus,Sony Music
1166,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,67,Bad and Boujee,Migos,Migos,Nan
1167,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,68,Je nám úplne jedno,Rytmus & Separ & James Cole,Rytmus,Tvoj Tatko Records
1168,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,69,Say Something Loving,The Xx,The Xx,Nan
1169,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,70,Nevinné,Rytmus & Ego,Rytmus,Tvoj Tatko Records
1170,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,71,Kandino Patkani,Rytmus & Sergei Barracuda,Rytmus,Tvoj Tatko Records
1171,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,72,Party Monster,The Weeknd & Daft Punk,The Weeknd,Universal Music
1172,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,73,No Lie,Sean Paul & Dua Lipa,Sean Paul,Universal Music
1173,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,74,Photograph,Ed Sheeran,Ed Sheeran,Warner Music
1174,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,75,Panda,Desiigner,Desiigner,Universal Music
1175,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,76,Lighthouse (Andrelli Remix),Hearts & Colors,Hearts,Nan
1176,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,77,On Hold,The Xx,The Xx,Nan
1177,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,78,Steady 1234,Vice & Jasmine Thompson & Skizzy Mars,Vice,Warner Music
1178,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,79,Chýbanie,Desmod,Desmod,Orpheus Production
1179,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,80,Lot To Learn,Luke Christopher,Luke Christopher,Sony Music
1180,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,81,I Took A Pill In Ibiza (SeeB Remix),Mike Posner,Mike Posner,Universal Music
1181,SK - SINGLES DIGITAL - TOP 100,2017,03,2017-03,82,Not Going Home,Dvbbs,Dvbbs,Warner Music
