,hitparada,rok,tyden,pozice,album,interpret,interpret_hlavni,vydavatel
192146,CZ - ALBUMS CLASSICAL - TOP 10,2011,5,2,Dvořák Antonín - Symfonie 1 - 9 komplet,Čf/neumann,Čf,Supraphon
192147,CZ - ALBUMS CLASSICAL - TOP 10,2011,5,3,Lettere Amorose,Magdalena Kožená,Magdalena Kožená,Universal Music
192148,CZ - ALBUMS CLASSICAL - TOP 10,2011,5,4,Antonín Dvořák - Rusalka   DVD,Orchestr Nd/chalabala,Orchestr Nd,Supraphon
192149,CZ - ALBUMS CLASSICAL - TOP 10,2011,5,5,Pavarotti Forever,Luciano Pavarotti,Luciano Pavarotti,Universal Music
192150,CZ - ALBUMS CLASSICAL - TOP 10,2011,5,6,Král valčíků,Rieu Andre,Rieu Andre,Universal Music
192151,CZ - ALBUMS CLASSICAL - TOP 10,2011,5,7,Martinů Bohuslav: Suita z Julietty,Různí,Různí,Supraphon
192152,CZ - ALBUMS CLASSICAL - TOP 10,2011,5,8,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
192153,CZ - ALBUMS CLASSICAL - TOP 10,2011,5,9,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
192154,CZ - ALBUMS CLASSICAL - TOP 10,2011,5,10,Arie,Kožená/bach,Kožená,Universal Music
192585,CZ - ALBUMS CLASSICAL - TOP 10,2011,50,1,Sporcelain,Pavel Šporcl,Pavel Šporcl,Warner Music
192586,CZ - ALBUMS CLASSICAL - TOP 10,2011,50,2,Patrícia Janečková,Janečková Patrícia,Janečková Patrícia,Bontonfilm
192587,CZ - ALBUMS CLASSICAL - TOP 10,2011,50,3,Adventní mše Rorate v českých kancionálech,Adventus Domini / Schola Gregoriana Pragensis,Adventus Domini,Supraphon
192588,CZ - ALBUMS CLASSICAL - TOP 10,2011,50,4,Legend,Carreras José,Carreras José,Universal Music
192589,CZ - ALBUMS CLASSICAL - TOP 10,2011,50,5,Vánoce v pražské katedrále v době Karla IV,Schola Gregoriana Pragensis,Schola Gregoriana Pragensis,Supraphon
192590,CZ - ALBUMS CLASSICAL - TOP 10,2011,50,6,Má vlast,Čf/kubelík,Čf,Supraphon
192591,CZ - ALBUMS CLASSICAL - TOP 10,2011,50,7,Vivaldianno MMVIII,Svěcený J./dvořák M.,Svěcený J.,Panther
192592,CZ - ALBUMS CLASSICAL - TOP 10,2011,50,8,Gipsy Way,Pavel Šporcl,Pavel Šporcl,Supraphon
192593,CZ - ALBUMS CLASSICAL - TOP 10,2011,50,9,Vánoční album 2010,3 Tenors,3 Tenors,Sony Music
192594,CZ - ALBUMS CLASSICAL - TOP 10,2011,50,10,České zpěvy vánoční,Musica Bohemica,Musica Bohemica,Supraphon
192595,CZ - ALBUMS CLASSICAL - TOP 10,2011,52,1,Sporcelain,Pavel Šporcl,Pavel Šporcl,Warner Music
192596,CZ - ALBUMS CLASSICAL - TOP 10,2011,52,2,Patrícia Janečková,Janečková Patrícia,Janečková Patrícia,Bontonfilm
192597,CZ - ALBUMS CLASSICAL - TOP 10,2011,52,3,Gipsy Way,Pavel Šporcl,Pavel Šporcl,Supraphon
192598,CZ - ALBUMS CLASSICAL - TOP 10,2011,52,4,Legend,Carreras José,Carreras José,Universal Music
192599,CZ - ALBUMS CLASSICAL - TOP 10,2011,52,5,Adventní mše Rorate v českých kancionálech,Adventus Domini / Schola Gregoriana Pragensis,Adventus Domini,Supraphon
192600,CZ - ALBUMS CLASSICAL - TOP 10,2011,52,6,Vivaldianno MMVIII,Svěcený J./dvořák M.,Svěcený J.,Panther
192601,CZ - ALBUMS CLASSICAL - TOP 10,2011,52,7,"Dvořák, A. Smyčcové kvartety G dur, op. 106 ...",Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
192602,CZ - ALBUMS CLASSICAL - TOP 10,2011,52,8,3 Tenors / 20th. Anniversary,3 Tenors,3 Tenors,Universal Music
192603,CZ - ALBUMS CLASSICAL - TOP 10,2011,52,9,Sacrificium,Cecilia Bartoli,Cecilia Bartoli,Universal Music
192604,CZ - ALBUMS CLASSICAL - TOP 10,2011,52,10,Zelenka - hudba Prahy 18. století,Collegium Marianum,Collegium Marianum,Supraphon
192155,CZ - ALBUMS CLASSICAL - TOP 10,2011,6,1,Gipsy Way,Pavel Šporcl,Pavel Šporcl,Supraphon
192156,CZ - ALBUMS CLASSICAL - TOP 10,2011,6,2,Best Of Smetana,Různí,Různí,Supraphon
192157,CZ - ALBUMS CLASSICAL - TOP 10,2011,6,3,Král valčíků,Rieu Andre,Rieu Andre,Universal Music
192158,CZ - ALBUMS CLASSICAL - TOP 10,2011,6,4,Lettere Amorose,Magdalena Kožená,Magdalena Kožená,Universal Music
192159,CZ - ALBUMS CLASSICAL - TOP 10,2011,6,5,Vivaldianno MMVIII,Svěcený J./dvořák M.,Svěcený J.,Panther
192160,CZ - ALBUMS CLASSICAL - TOP 10,2011,6,6,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
192161,CZ - ALBUMS CLASSICAL - TOP 10,2011,6,7,Čtvero ročních dob (Vivaldi/Hudeček-Virtuosi..),Různí,Různí,Supraphon
192162,CZ - ALBUMS CLASSICAL - TOP 10,2011,6,8,"Classic, Acoustic & Folk",Lenka Filipová,Lenka Filipová,Universal Music
192163,CZ - ALBUMS CLASSICAL - TOP 10,2011,6,9,Antonín Dvořák - Rusalka   DVD,Orchestr Nd/chalabala,Orchestr Nd,Supraphon
192164,CZ - ALBUMS CLASSICAL - TOP 10,2011,6,10,Best Of Dvořák,Různí,Různí,Supraphon
192165,CZ - ALBUMS CLASSICAL - TOP 10,2011,7,1,Gipsy Way,Pavel Šporcl,Pavel Šporcl,Supraphon
192166,CZ - ALBUMS CLASSICAL - TOP 10,2011,7,2,Má vlast,Čf/kubelík,Čf,Supraphon
192167,CZ - ALBUMS CLASSICAL - TOP 10,2011,7,3,Lettere Amorose,Magdalena Kožená,Magdalena Kožená,Universal Music
192168,CZ - ALBUMS CLASSICAL - TOP 10,2011,7,4,Král valčíků,Rieu Andre,Rieu Andre,Universal Music
192169,CZ - ALBUMS CLASSICAL - TOP 10,2011,7,5,Vivaldianno MMVIII,Svěcený J./dvořák M.,Svěcený J.,Panther
192170,CZ - ALBUMS CLASSICAL - TOP 10,2011,7,6,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
192171,CZ - ALBUMS CLASSICAL - TOP 10,2011,7,7,Dvořák - Symfonie 7-9,Čf/neumann,Čf,Supraphon
192172,CZ - ALBUMS CLASSICAL - TOP 10,2011,7,8,"Classic, Acoustic & Folk",Lenka Filipová,Lenka Filipová,Universal Music
192173,CZ - ALBUMS CLASSICAL - TOP 10,2011,7,9,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
192174,CZ - ALBUMS CLASSICAL - TOP 10,2011,7,10,Dvořák - Stabat mater op. 58,Čf/sawallisch,Čf,Supraphon
192175,CZ - ALBUMS CLASSICAL - TOP 10,2011,8,1,"Smetana, B. Vltava / Dvořák, A. Symfonie č. 9 e mo",Čf/ančerl,Čf,Supraphon
192176,CZ - ALBUMS CLASSICAL - TOP 10,2011,8,2,Česká serenáda,Různí,Různí,Supraphon
192177,CZ - ALBUMS CLASSICAL - TOP 10,2011,8,3,Vivaldianno MMVIII,Svěcený J./dvořák M.,Svěcený J.,Panther
192178,CZ - ALBUMS CLASSICAL - TOP 10,2011,8,4,Lettere Amorose,Magdalena Kožená,Magdalena Kožená,Universal Music
192179,CZ - ALBUMS CLASSICAL - TOP 10,2011,8,5,Král valčíků,Rieu Andre,Rieu Andre,Universal Music
192180,CZ - ALBUMS CLASSICAL - TOP 10,2011,8,6,Gipsy Way,Pavel Šporcl,Pavel Šporcl,Supraphon
192181,CZ - ALBUMS CLASSICAL - TOP 10,2011,8,7,Antonín Dvořák - Rusalka   DVD,Orchestr Nd/chalabala,Orchestr Nd,Supraphon
192182,CZ - ALBUMS CLASSICAL - TOP 10,2011,8,8,Má vlast,Čf/kubelík,Čf,Supraphon
192183,CZ - ALBUMS CLASSICAL - TOP 10,2011,8,9,"Dvořák, A. Smyčcové kvartety G dur, op. 106 ...",Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
192184,CZ - ALBUMS CLASSICAL - TOP 10,2011,8,10,Má vlast,Čf/smetáček,Čf,Supraphon
192185,CZ - ALBUMS CLASSICAL - TOP 10,2011,9,1,"Smetana, B. Vltava / Dvořák, A. Symfonie č. 9 e mo",Čf/ančerl,Čf,Supraphon
192186,CZ - ALBUMS CLASSICAL - TOP 10,2011,9,2,Gipsy Way,Pavel Šporcl,Pavel Šporcl,Supraphon
192187,CZ - ALBUMS CLASSICAL - TOP 10,2011,9,3,Král valčíků,Rieu Andre,Rieu Andre,Universal Music
192188,CZ - ALBUMS CLASSICAL - TOP 10,2011,9,4,Vivaldianno MMVIII,Svěcený J./dvořák M.,Svěcený J.,Panther
192189,CZ - ALBUMS CLASSICAL - TOP 10,2011,9,5,Lettere Amorose,Magdalena Kožená,Magdalena Kožená,Universal Music
192190,CZ - ALBUMS CLASSICAL - TOP 10,2011,9,6,Dvořák Antonín - Symfonie 1 - 9 komplet,Čf/neumann,Čf,Supraphon
192191,CZ - ALBUMS CLASSICAL - TOP 10,2011,9,7,Concertino,Lenka Filipová,Lenka Filipová,Supraphon
192192,CZ - ALBUMS CLASSICAL - TOP 10,2011,9,8,Best Of Smetana,Různí,Různí,Supraphon
192193,CZ - ALBUMS CLASSICAL - TOP 10,2011,9,9,Má vlast,Čf/kubelík,Čf,Supraphon
192194,CZ - ALBUMS CLASSICAL - TOP 10,2011,9,10,"Classic, Acoustic & Folk",Lenka Filipová,Lenka Filipová,Universal Music
192605,CZ - ALBUMS CLASSICAL - TOP 10,2012,1,1,"Dvořák-Novosvětská, Smetana - Vltava",Čf/neumann,Čf,Supraphon
192606,CZ - ALBUMS CLASSICAL - TOP 10,2012,1,2,Sporcelain,Pavel Šporcl,Pavel Šporcl,Warner Music
192607,CZ - ALBUMS CLASSICAL - TOP 10,2012,1,3,Patrícia Janečková,Janečková Patrícia,Janečková Patrícia,Bontonfilm
192608,CZ - ALBUMS CLASSICAL - TOP 10,2012,1,4,"Dvořák, A. Smyčcové kvartety G dur, op. 106 ...",Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
192609,CZ - ALBUMS CLASSICAL - TOP 10,2012,1,5,Rarity české opery,Kusnjer Ivan,Kusnjer Ivan,Supraphon
192610,CZ - ALBUMS CLASSICAL - TOP 10,2012,1,6,Antonín Dvořák - Slovanské tance,Čf/neumann,Čf,Supraphon
192611,CZ - ALBUMS CLASSICAL - TOP 10,2012,1,7,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
192612,CZ - ALBUMS CLASSICAL - TOP 10,2012,1,8,"Stamitz, C. Šest duet pro pro housle a violu",Demeterová Gabrilea,Demeterová Gabrilea,Supraphon
192613,CZ - ALBUMS CLASSICAL - TOP 10,2012,1,9,Legend,Carreras José,Carreras José,Universal Music
192614,CZ - ALBUMS CLASSICAL - TOP 10,2012,1,10,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
192695,CZ - ALBUMS CLASSICAL - TOP 10,2012,10,1,"Koncerty a sonáty - Poulenc, Kalabis, de Falla,...",Hommage A Zuzana Růžičková,Hommage A Zuzana Růžičková,Supraphon
192696,CZ - ALBUMS CLASSICAL - TOP 10,2012,10,2,Legend,Carreras José,Carreras José,Universal Music
192697,CZ - ALBUMS CLASSICAL - TOP 10,2012,10,3,Gipsy Way,Pavel Šporcl,Pavel Šporcl,Supraphon
192698,CZ - ALBUMS CLASSICAL - TOP 10,2012,10,4,Dvořák Antonín - Symfonie 1 - 9 komplet,Čf/neumann,Čf,Supraphon
192699,CZ - ALBUMS CLASSICAL - TOP 10,2012,10,5,Musique De La Chapelle Royale - Versailles,Různí,Různí,Warner Music
192700,CZ - ALBUMS CLASSICAL - TOP 10,2012,10,6,Sporcelain,Pavel Šporcl,Pavel Šporcl,Warner Music
192701,CZ - ALBUMS CLASSICAL - TOP 10,2012,10,7,"Smetana, B. Vltava / Dvořák, A. Symfonie č. 9 e mo",Čf/ančerl,Čf,Supraphon
192702,CZ - ALBUMS CLASSICAL - TOP 10,2012,10,8,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
192703,CZ - ALBUMS CLASSICAL - TOP 10,2012,10,9,Má vlast,Čf/kubelík,Čf,Supraphon
192704,CZ - ALBUMS CLASSICAL - TOP 10,2012,10,10,Concertino,Lenka Filipová,Lenka Filipová,Supraphon
192705,CZ - ALBUMS CLASSICAL - TOP 10,2012,11,1,B. Smetana - Má vlast,Čf/košler,Čf,Supraphon
192706,CZ - ALBUMS CLASSICAL - TOP 10,2012,11,2,Má vlast,Čf/kubelík,Čf,Supraphon
192707,CZ - ALBUMS CLASSICAL - TOP 10,2012,11,3,A.Dvořák - Koncerty pro violoncello a orchestr,Čf/neumann/sádlo,Čf,Supraphon
192708,CZ - ALBUMS CLASSICAL - TOP 10,2012,11,4,Legend,Carreras José,Carreras José,Universal Music
192709,CZ - ALBUMS CLASSICAL - TOP 10,2012,11,5,A. Dvořák - Slovanské tance,Čf/košler,Čf,Supraphon
192710,CZ - ALBUMS CLASSICAL - TOP 10,2012,11,6,Dvořák - Stabat mater op. 58,Čf/sawallisch,Čf,Supraphon
192711,CZ - ALBUMS CLASSICAL - TOP 10,2012,11,7,"Stamitz, C. Šest duet pro pro housle a violu",Demeterová Gabrilea,Demeterová Gabrilea,Supraphon
192712,CZ - ALBUMS CLASSICAL - TOP 10,2012,11,8,Arie,Kožená/bach,Kožená,Universal Music
192713,CZ - ALBUMS CLASSICAL - TOP 10,2012,11,9,Great Czech Conductors,Kubelík Rafael,Kubelík Rafael,Supraphon
192714,CZ - ALBUMS CLASSICAL - TOP 10,2012,11,10,Amadeus / Remaster   O.S.T.,Různí,Různí,Universal Music
192715,CZ - ALBUMS CLASSICAL - TOP 10,2012,12,1,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
192716,CZ - ALBUMS CLASSICAL - TOP 10,2012,12,2,A. Dvořák - Kompletní dílo pro violoncello,Jamník Tomáš,Jamník Tomáš,Supraphon
192717,CZ - ALBUMS CLASSICAL - TOP 10,2012,12,3,Dvořák Antonín - Symfonie 1 - 9 komplet,Čf/neumann,Čf,Supraphon
192718,CZ - ALBUMS CLASSICAL - TOP 10,2012,12,4,Zelenka - hudba Prahy 18. století,Collegium Marianum,Collegium Marianum,Supraphon
192719,CZ - ALBUMS CLASSICAL - TOP 10,2012,12,5,Má vlast - B. Smetana,Čf/ančerl,Čf,Supraphon
192720,CZ - ALBUMS CLASSICAL - TOP 10,2012,12,6,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
192721,CZ - ALBUMS CLASSICAL - TOP 10,2012,12,7,Má vlast,Čf/mackerras,Čf,Supraphon
192722,CZ - ALBUMS CLASSICAL - TOP 10,2012,12,8,Dvořák - Requiem,Čf/sawallisch,Čf,Supraphon
192723,CZ - ALBUMS CLASSICAL - TOP 10,2012,12,9,L. Janáček - Smyčcový kvartet č. 1,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
192724,CZ - ALBUMS CLASSICAL - TOP 10,2012,12,10,"Dvořák, A. Smyčcové kvartety G dur, op. 106 ...",Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
192725,CZ - ALBUMS CLASSICAL - TOP 10,2012,13,1,Vivaldianno MMVIII,Svěcený J./dvořák M.,Svěcený J.,Panther
192726,CZ - ALBUMS CLASSICAL - TOP 10,2012,13,2,Truly,Plácido Domingo,Plácido Domingo,Universal Music
192727,CZ - ALBUMS CLASSICAL - TOP 10,2012,13,3,Portrait,Bogza Anda-louise,Bogza Anda-louise,Sony Music
192728,CZ - ALBUMS CLASSICAL - TOP 10,2012,13,4,Dvořák Antonín - Symfonie 1 - 9 komplet,Čf/neumann,Čf,Supraphon
192729,CZ - ALBUMS CLASSICAL - TOP 10,2012,13,5,Má vlast,Čf/kubelík,Čf,Supraphon
192730,CZ - ALBUMS CLASSICAL - TOP 10,2012,13,6,Česká serenáda,Různí,Různí,Supraphon
192731,CZ - ALBUMS CLASSICAL - TOP 10,2012,13,7,A. Dvořák - Slovanské tance,Čf/košler,Čf,Supraphon
192732,CZ - ALBUMS CLASSICAL - TOP 10,2012,13,8,Arie,Kožená/bach,Kožená,Universal Music
192733,CZ - ALBUMS CLASSICAL - TOP 10,2012,13,9,Sólo pro krále,Semerádová Jana,Semerádová Jana,Supraphon
192734,CZ - ALBUMS CLASSICAL - TOP 10,2012,13,10,Legend,Carreras José,Carreras José,Universal Music
192735,CZ - ALBUMS CLASSICAL - TOP 10,2012,14,1,Vivaldianno MMVIII,Svěcený J./dvořák M.,Svěcený J.,Panther
192736,CZ - ALBUMS CLASSICAL - TOP 10,2012,14,2,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
192737,CZ - ALBUMS CLASSICAL - TOP 10,2012,14,3,"Dvořák - Symfonie 8,9",Čf/mackerras,Čf,Supraphon
192738,CZ - ALBUMS CLASSICAL - TOP 10,2012,14,4,Mozart W. A. / Don Giovanni   DVD,Orchestr Nd V Praze/ch.mackerras,Orchestr Nd V Praze,Supraphon
192739,CZ - ALBUMS CLASSICAL - TOP 10,2012,14,5,Best Of Dvořák,Různí,Různí,Supraphon
192740,CZ - ALBUMS CLASSICAL - TOP 10,2012,14,6,Martinů Bohuslav: Polní mše,Různí,Různí,Supraphon
192741,CZ - ALBUMS CLASSICAL - TOP 10,2012,14,7,Sporcelain,Pavel Šporcl,Pavel Šporcl,Warner Music
192742,CZ - ALBUMS CLASSICAL - TOP 10,2012,14,8,B. Smetana - Má vlast,Čf/košler,Čf,Supraphon
192743,CZ - ALBUMS CLASSICAL - TOP 10,2012,14,9,Dvořák - Stabat mater op. 58,Čf/sawallisch,Čf,Supraphon
192744,CZ - ALBUMS CLASSICAL - TOP 10,2012,14,10,"Janáček Leoš: Z mrtvého domu, Příhody lišky ...",Fok/bělohlávek,Fok,Supraphon
192745,CZ - ALBUMS CLASSICAL - TOP 10,2012,15,1,Vivaldianno MMVIII,Svěcený J./dvořák M.,Svěcený J.,Panther
192746,CZ - ALBUMS CLASSICAL - TOP 10,2012,15,2,"Dvořák - Symfonie 8,9",Čf/mackerras,Čf,Supraphon
192747,CZ - ALBUMS CLASSICAL - TOP 10,2012,15,3,Mozart W. A. / Don Giovanni   DVD,Orchestr Nd V Praze/ch.mackerras,Orchestr Nd V Praze,Supraphon
192748,CZ - ALBUMS CLASSICAL - TOP 10,2012,15,4,Martinů Bohuslav: Suita z Julietty,Různí,Různí,Supraphon
192749,CZ - ALBUMS CLASSICAL - TOP 10,2012,15,5,Dvořák - Stabat mater op. 58,Čf/sawallisch,Čf,Supraphon
192750,CZ - ALBUMS CLASSICAL - TOP 10,2012,15,6,Janáček Leoš: Mužské sbory,Pfs/veselka,Pfs,Supraphon
192751,CZ - ALBUMS CLASSICAL - TOP 10,2012,15,7,Benda F.:Houslové koncerty z drážďanských archívů,Ženatý Ivan,Ženatý Ivan,Supraphon
192752,CZ - ALBUMS CLASSICAL - TOP 10,2012,15,8,Má vlast - B. Smetana,Čf/ančerl,Čf,Supraphon
192753,CZ - ALBUMS CLASSICAL - TOP 10,2012,15,9,"Martinů B. Symfonie č. 5, 6",Čf/bělohlávek,Čf,Supraphon
192754,CZ - ALBUMS CLASSICAL - TOP 10,2012,15,10,"Martinů, B. Polní mše, Dvojkoncert, Fresky Piera D",Čf/mackerras;pfs/mátl;sočr/mackerras,Čf,Supraphon
192755,CZ - ALBUMS CLASSICAL - TOP 10,2012,16,1,Vivaldianno MMXII,Svěcený J./dvořák M.,Svěcený J.,Universal Music
192756,CZ - ALBUMS CLASSICAL - TOP 10,2012,16,2,Adriana Lecouvreur   DVD,Cilea Francesco,Cilea Francesco,Universal Music
192757,CZ - ALBUMS CLASSICAL - TOP 10,2012,16,3,Live in Brussels,Ivan Moravec,Ivan Moravec,Supraphon
192758,CZ - ALBUMS CLASSICAL - TOP 10,2012,16,4,Má vlast,Čf/kubelík,Čf,Supraphon
192759,CZ - ALBUMS CLASSICAL - TOP 10,2012,16,5,Dvořák - Stabat mater op. 58,Čf/sawallisch,Čf,Supraphon
192760,CZ - ALBUMS CLASSICAL - TOP 10,2012,16,6,Benda F.:Houslové koncerty z drážďanských archívů,Ženatý Ivan,Ženatý Ivan,Supraphon
192761,CZ - ALBUMS CLASSICAL - TOP 10,2012,16,7,Citolibští mistři / Musica Antiqua Citolibensis,Různí,Různí,Supraphon
192762,CZ - ALBUMS CLASSICAL - TOP 10,2012,16,8,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
192763,CZ - ALBUMS CLASSICAL - TOP 10,2012,16,9,Martinů Bohuslav: Suita z Julietty,Různí,Různí,Supraphon
192764,CZ - ALBUMS CLASSICAL - TOP 10,2012,16,10,Dvořák v Americe,Různí,Různí,Supraphon
192765,CZ - ALBUMS CLASSICAL - TOP 10,2012,17,1,Vivaldianno MMXII,Svěcený J./dvořák M.,Svěcený J.,Universal Music
192766,CZ - ALBUMS CLASSICAL - TOP 10,2012,17,2,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
192767,CZ - ALBUMS CLASSICAL - TOP 10,2012,17,3,Má vlast,Čf/smetáček,Čf,Supraphon
192768,CZ - ALBUMS CLASSICAL - TOP 10,2012,17,4,Adriana Lecouvreur   DVD,Cilea Francesco,Cilea Francesco,Universal Music
192769,CZ - ALBUMS CLASSICAL - TOP 10,2012,17,5,Don Giovanni,Mozart / Bohm,Mozart,Universal Music
192770,CZ - ALBUMS CLASSICAL - TOP 10,2012,17,6,"Bach, J.S. Braniborské koncerty",Musica Florea,Musica Florea,Supraphon
192771,CZ - ALBUMS CLASSICAL - TOP 10,2012,17,7,"Cherubini, L. Rekviem, Symfonie č. 6 D dur, Medea",Různí,Různí,Supraphon
192772,CZ - ALBUMS CLASSICAL - TOP 10,2012,17,8,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
192773,CZ - ALBUMS CLASSICAL - TOP 10,2012,17,9,Dvořák - Stabat mater op. 58,Čf/sawallisch,Čf,Supraphon
192774,CZ - ALBUMS CLASSICAL - TOP 10,2012,17,10,Talich Special Edition 10,Čf/talich,Čf,Supraphon
192775,CZ - ALBUMS CLASSICAL - TOP 10,2012,18,1,Vivaldianno MMXII,Svěcený J./dvořák M.,Svěcený J.,Universal Music
192776,CZ - ALBUMS CLASSICAL - TOP 10,2012,18,2,"Janáček, L. Hradčanské písničky, Říkadla, Vlčí sto",Pfs/veselka,Pfs,Supraphon
192777,CZ - ALBUMS CLASSICAL - TOP 10,2012,18,3,"Martinů, B. Polní mše, Dvojkoncert, Fresky Piera..",Různí,Různí,Supraphon
192778,CZ - ALBUMS CLASSICAL - TOP 10,2012,18,4,"Martinů B. Symfonie č. 5, 6",Čf/bělohlávek,Čf,Supraphon
192779,CZ - ALBUMS CLASSICAL - TOP 10,2012,18,5,Benda F.:Houslové koncerty z drážďanských archívů,Ženatý Ivan,Ženatý Ivan,Supraphon
192780,CZ - ALBUMS CLASSICAL - TOP 10,2012,18,6,Adriana Lecouvreur   DVD,Cilea Francesco,Cilea Francesco,Universal Music
192781,CZ - ALBUMS CLASSICAL - TOP 10,2012,18,7,"Martinů, B. Koncerty pro hoboj, cembalo a klavír č",Čf/neumann,Čf,Supraphon
192782,CZ - ALBUMS CLASSICAL - TOP 10,2012,18,8,Concertino,Lenka Filipová,Lenka Filipová,Supraphon
192783,CZ - ALBUMS CLASSICAL - TOP 10,2012,18,9,"Janáček Leoš: Z mrtvého domu, Příhody lišky ...",Fok/bělohlávek,Fok,Supraphon
192784,CZ - ALBUMS CLASSICAL - TOP 10,2012,18,10,Legend,Carreras José,Carreras José,Universal Music
192785,CZ - ALBUMS CLASSICAL - TOP 10,2012,19,1,Vivaldianno MMXII,Svěcený J./dvořák M.,Svěcený J.,Universal Music
192786,CZ - ALBUMS CLASSICAL - TOP 10,2012,19,2,Love And Longing (Ravel*Dvořák*Mahler),Magdalena Kožená,Magdalena Kožená,Universal Music
192787,CZ - ALBUMS CLASSICAL - TOP 10,2012,19,3,Má vlast,Čf/smetáček,Čf,Supraphon
192788,CZ - ALBUMS CLASSICAL - TOP 10,2012,19,4,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
192789,CZ - ALBUMS CLASSICAL - TOP 10,2012,19,5,Caesar vive! Hudba na dvoře císaře Rudolfa II.,Fraternitas Litteratorum/horyna,Fraternitas Litteratorum,Supraphon
192790,CZ - ALBUMS CLASSICAL - TOP 10,2012,19,6,"Bach, J.S. Braniborské koncerty",Musica Florea,Musica Florea,Supraphon
192791,CZ - ALBUMS CLASSICAL - TOP 10,2012,19,7,"Koncerty a sonáty - Poulenc, Kalabis, de Falla,...",Hommage A Zuzana Růžičková,Hommage A Zuzana Růžičková,Supraphon
192792,CZ - ALBUMS CLASSICAL - TOP 10,2012,19,8,Martinů Bohuslav: Suita z Julietty,Různí,Různí,Supraphon
192793,CZ - ALBUMS CLASSICAL - TOP 10,2012,19,9,Morava,Škampovo Kvarteto/i. Bittová,Škampovo Kvarteto,Supraphon
192794,CZ - ALBUMS CLASSICAL - TOP 10,2012,19,10,Benda F.:Houslové koncerty z drážďanských archívů,Ženatý Ivan,Ženatý Ivan,Supraphon
192615,CZ - ALBUMS CLASSICAL - TOP 10,2012,2,1,Patrícia Janečková,Janečková Patrícia,Janečková Patrícia,Bontonfilm
192616,CZ - ALBUMS CLASSICAL - TOP 10,2012,2,2,Sporcelain,Pavel Šporcl,Pavel Šporcl,Warner Music
192617,CZ - ALBUMS CLASSICAL - TOP 10,2012,2,3,Legend,Carreras José,Carreras José,Universal Music
192618,CZ - ALBUMS CLASSICAL - TOP 10,2012,2,4,Novoroční koncert 2012,Jansons Mariss,Jansons Mariss,Sony Music
192619,CZ - ALBUMS CLASSICAL - TOP 10,2012,2,5,Best Of Smetana,Různí,Různí,Supraphon
192620,CZ - ALBUMS CLASSICAL - TOP 10,2012,2,6,3 Tenors / 20th. Anniversary,3 Tenors,3 Tenors,Universal Music
192621,CZ - ALBUMS CLASSICAL - TOP 10,2012,2,7,Sacrificium,Cecilia Bartoli,Cecilia Bartoli,Universal Music
192622,CZ - ALBUMS CLASSICAL - TOP 10,2012,2,8,Lettere Amorose,Magdalena Kožená,Magdalena Kožená,Universal Music
192623,CZ - ALBUMS CLASSICAL - TOP 10,2012,2,9,Antonín Dvořák - Rusalka   DVD,Orchestr Nd/chalabala,Orchestr Nd,Supraphon
192624,CZ - ALBUMS CLASSICAL - TOP 10,2012,2,10,"Dvořák, A. Smyčcové kvartety G dur, op. 106 ...",Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
192795,CZ - ALBUMS CLASSICAL - TOP 10,2012,20,1,Vivaldianno MMXII,Svěcený J./dvořák M.,Svěcený J.,Universal Music
192796,CZ - ALBUMS CLASSICAL - TOP 10,2012,20,2,Má vlast,Čf/kubelík,Čf,Supraphon
192797,CZ - ALBUMS CLASSICAL - TOP 10,2012,20,3,Love And Longing (Ravel*Dvořák*Mahler),Magdalena Kožená,Magdalena Kožená,Universal Music
192798,CZ - ALBUMS CLASSICAL - TOP 10,2012,20,4,Antonín Dvořák - Slovanské tance,Čf/neumann,Čf,Supraphon
192799,CZ - ALBUMS CLASSICAL - TOP 10,2012,20,5,A. Dvořák - Rusalka   DVD,Různí,Různí,Supraphon
192800,CZ - ALBUMS CLASSICAL - TOP 10,2012,20,6,Dvořák Antonín - Symfonie 1 - 9 komplet,Čf/neumann,Čf,Supraphon
