,hitparada,rok,mesic,pozice,album,interpret,interpret_hlavni,vydavatel
4,CZ - ALBUMS CLASSICAL - TOP 10,2018,4,5,Smetana - Má vlast,Orchestr Nd/krombholc,Orchestr Nd,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2018,4,6,Dvořák: Skladby pro housle a klavír,Suk J./hála J.,Suk J.,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2018,4,7,Smetana - Greatest Hits,Různí,Různí,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2018,4,8,Score,2cellos,2cellos,Sony Music
8,CZ - ALBUMS CLASSICAL - TOP 10,2018,4,9,Adam Plachetka: Impossible Dream,Sočr/netopil,Sočr,Čro
9,CZ - ALBUMS CLASSICAL - TOP 10,2018,4,10,Smetana - smyčcové kvartety,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2018,5,1,Jurkovič: ukolébavky,Hana Blažíková / Tomáš Král,Hana Blažíková,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2018,5,2,Jiří Bělohlávek - Recollection,Různí,Různí,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2018,5,3,Prague Classics / Musical Souvenir from Prague,Různí,Různí,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2018,5,4,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2018,5,5,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2018,5,6,Hej Romale,Čhavorenge & Ida Kelarová & Čf& M. Ivanovič,Čhavorenge,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2018,5,7,"Koncerty (Grieg, Ravel, Prokofjev)",Ivan Moravec,Ivan Moravec,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2018,5,8,Smetana - Má vlast,Orchestr Nd/krombholc,Orchestr Nd,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2018,5,9,Meditace & relaxace s klasickou hudbou,Různí,Různí,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2018,5,10,Adam Plachetka: Impossible Dream,Sočr/netopil,Sočr,Čro
0,CZ - ALBUMS CLASSICAL - TOP 10,2018,6,1,Beethoven: Klavírní sonáty,Jan Bartoš,Jan Bartoš,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2018,6,2,Prague Classics / Musical Souvenir from Prague,Různí,Různí,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2018,6,3,Czech Music Bestsellers,Různí,Různí,Supraphon
